word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks
focus,junior_high,集中する,焦点,junior_word_list;high_word_list,1461;565
fold,junior_high,を折る，折りたたむ,折りたたむ,junior_word_list;high_word_list,1462;2052;2392
follow,junior_high,に従う,,junior_word_list,911
follower,junior_high,支持者,,junior_word_list,1463
fond,junior_high,好きで,,junior_word_list,1464
food,junior_high,食べ物,,junior_word_list,192
fool,junior_high,馬鹿,,junior_word_list,912
foolish,junior_high,愚かな,,junior_word_list,913;1465
foot,junior_high,足,,junior_word_list,658
for,junior_high,として,,junior_word_list,193;914
for example,junior_high,例えば,,junior_word_list,888
for now,junior_high,今のところは,,junior_word_list,1061
for one thing,junior_high,1つには,,junior_word_list,1068
for sale,junior_high,売り物の,,junior_word_list,1139
foreign,junior_high,外国の,外国の,junior_word_list;high_word_list,194;99
forest,junior_high,森、森林,,junior_word_list,915
forget,junior_high,を忘れる,,junior_word_list,195;671
forth,junior_high,前へ,,junior_word_list,1466
fortunately,junior_high,幸運にも,,junior_word_list,1467
forty,junior_high,40,,junior_word_list,196
forward,junior_high,前方へ,前方へ,junior_word_list;high_word_list,197;83
fossil,junior_high,化石,,junior_word_list,916
fossil fuel,junior_high,化石燃料,,junior_word_list,1468
found,junior_high,を見つけた,設立する,junior_word_list;high_word_list,917;918;1469;1978;2318
four,junior_high,4,,junior_word_list,199
fourteen,junior_high,14,,junior_word_list,200
fourteenth,junior_high,14番目,,junior_word_list,1899
fourth,junior_high,4番目,,junior_word_list,201
fox,junior_high,キツネ,,junior_word_list,1470
free,junior_high,ひまな,,junior_word_list,202;919
freedom,junior_high,自由,,junior_word_list,920
freely,junior_high,自由に,,junior_word_list,1471
fresh,junior_high,新鮮な,,junior_word_list,1472
friday,junior_high,金曜日,,junior_word_list,203
friend,junior_high,友達,,junior_word_list,204
friendly,junior_high,好意的な,友好的な,junior_word_list;high_word_list,1473;1031;1534
frog,junior_high,カエル,,junior_word_list,205;1907
from,junior_high,【時間】から,,junior_word_list,206;207
from abroad,junior_high,外国から,,junior_word_list,728
front,junior_high,前、正面,,junior_word_list,208;921
fruit,junior_high,果物,,junior_word_list,209
full,junior_high,完全な、完ぺきな、最適な,,junior_word_list,923
fun,junior_high,楽しい,,junior_word_list,210;669;1474
functional,junior_high,実用的な,,junior_word_list,1475
funny,junior_high,おかしな,,junior_word_list,211;1923
future,junior_high,未来,,junior_word_list,212;925
garage,junior_high,車庫,,junior_word_list,1476
garbage,junior_high,ゴミ,,junior_word_list,213
gas,junior_high,ガソリン,,junior_word_list,1477
gather,junior_high,を集める,集める,junior_word_list;high_word_list,927;294
gave,junior_high,与えた,,junior_word_list,214
general,junior_high,一般的な,,junior_word_list,928
gentle,junior_high,やさしい,穏やかな,junior_word_list;high_word_list,1478;1033;1536
gently,junior_high,やさしく,,junior_word_list,1479
get,junior_high,を得る,,junior_word_list,215;216;217
get fired,junior_high,解雇される,,junior_word_list,1480
get out,junior_high,外へ出る,,junior_word_list,1481
get over,junior_high,を乗りこえる,,junior_word_list,1482
gift,junior_high,贈り物,,junior_word_list,929
girl,junior_high,少女,,junior_word_list,218
give,junior_high,を与える、渡す,,junior_word_list,219
given,junior_high,与えた,与えられた,junior_word_list;high_word_list,1483;1160;1663
glacier,junior_high,氷河,,junior_word_list,930
glad,junior_high,うれしい,,junior_word_list,931
go,junior_high,行く,,junior_word_list,220
go back,junior_high,帰る，戻る,,junior_word_list,1485
go by,junior_high,通り過ぎる,,junior_word_list,934
go on,junior_high,する，始める,,junior_word_list,1486;1487
go out,junior_high,外出する,,junior_word_list,933
go through,junior_high,人生を送る,,junior_word_list,1488
god,junior_high,神,,junior_word_list,1489
good,junior_high,良い,,junior_word_list,221;222
got,junior_high,得た,,junior_word_list,223
government,junior_high,政府,政府,junior_word_list;high_word_list,1490;255
grade,junior_high,等級,,junior_word_list,1491
graduate,junior_high,卒業する,卒業する,junior_word_list;high_word_list,1492;984;1487
graduation,junior_high,卒業,,junior_word_list,1493
grand,junior_high,壮大な,壮大な,junior_word_list;high_word_list,935;1893;2233
grandfather,junior_high,祖父,,junior_word_list,224;641
grandmother,junior_high,祖母,,junior_word_list,225;684
grape,junior_high,ブドウ,,junior_word_list,226
graph,junior_high,図表,,junior_word_list,936
grass,junior_high,草,,junior_word_list,937
great,junior_high,すばらしい,,junior_word_list,227;938
green,junior_high,緑,,junior_word_list,228
grew,junior_high,育った,,junior_word_list,1494
ground,junior_high,地面,,junior_word_list,939
grow,junior_high,成長する,,junior_word_list,940;1495
growth,junior_high,増加,,junior_word_list,1496
guess,junior_high,を推測する,推測する,junior_word_list;high_word_list,229;192;490
guest,junior_high,客,,junior_word_list,941
guide,junior_high,案内人,案内人,junior_word_list;high_word_list,942;1497;777;1280
gun,junior_high,鉄砲,,junior_word_list,943
gym,junior_high,体育館,,junior_word_list,1895
habit,junior_high,習慣,習慣,junior_word_list;high_word_list,1498;295
had,junior_high,持った,,junior_word_list,230
hair,junior_high,髪,,junior_word_list,231
half,junior_high,半分、2分の1,,junior_word_list,232;944
hall,junior_high,会館、ホール,,junior_word_list,233;1871
hand,junior_high,手,,junior_word_list,234;1499
hand out,junior_high,を配る,,junior_word_list,1500
handle,junior_high,を処理する,手で扱う,junior_word_list;high_word_list,1501;985;1488
happen,junior_high,起こる,,junior_word_list,689
happily,junior_high,幸せに，楽しく,,junior_word_list,1502
happiness,junior_high,幸福,,junior_word_list,945
happy,junior_high,幸せな、うれしい、楽しい,,junior_word_list,235
hard,junior_high,熱心に、一生懸命に,,junior_word_list,236;237;1870
has to,junior_high,しなければならない,,junior_word_list,946
hat,junior_high,帽子,,junior_word_list,238;621
have,junior_high,を持っている,,junior_word_list,239;240;241
have to,junior_high,しなければならない,,junior_word_list,947
he,junior_high,彼は,,junior_word_list,242
head,junior_high,頭,,junior_word_list,243
headache,junior_high,頭痛,,junior_word_list,244
health,junior_high,健康,,junior_word_list,949;1503
healthy,junior_high,健康な,,junior_word_list,1504
hear,junior_high,聞く,,junior_word_list,950;1505
hear of,junior_high,について聞く,,junior_word_list,951
heard,junior_high,聞いた,,junior_word_list,952;1506
heart,junior_high,心,,junior_word_list,245;693
heat,junior_high,熱,,junior_word_list,1507
heaven,junior_high,天国,,junior_word_list,1508
heavy,junior_high,重い,,junior_word_list,953
held,junior_high,開催した,,junior_word_list,954;1509
help,junior_high,を手伝う、助ける,,junior_word_list,246;1510
helpful,junior_high,役に立つ,,junior_word_list,955
here,junior_high,ここに,,junior_word_list,247
heritage,junior_high,遺産,遺産,junior_word_list;high_word_list,956;718
hers,junior_high,彼女のもの,,junior_word_list,248
herself,junior_high,彼女自身,,junior_word_list,957
high school,junior_high,高校,,junior_word_list,1511
hill,junior_high,丘,,junior_word_list,958
him,junior_high,彼を,,junior_word_list,249
himself,junior_high,彼自身を,,junior_word_list,959;1512
his,junior_high,彼の,,junior_word_list,250;251
history,junior_high,歴史,歴史,junior_word_list;high_word_list,252;662;113
hit,junior_high,打つ,,junior_word_list,1513
hobby,junior_high,趣味,,junior_word_list,960
hold,junior_high,をつかむ,,junior_word_list,961;962
hole,junior_high,穴,,junior_word_list,963
holiday,junior_high,休日、休暇,,junior_word_list,964
holy,junior_high,神聖な,,junior_word_list,1514
homework,junior_high,宿題,,junior_word_list,253
honest,junior_high,正直な,正直な,junior_word_list;high_word_list,617;719;836;1339
honey,junior_high,蜂蜜,,junior_word_list,1515
hope,junior_high,を望む,,junior_word_list,254;650
hope to,junior_high,したいと願う,,junior_word_list,1516
hopeful,junior_high,希望を持っている,,junior_word_list,1517
horizon,junior_high,地平線，水平線,,junior_word_list,1518
horror,junior_high,恐怖,恐怖,junior_word_list;high_word_list,965;764;1267
horse,junior_high,馬,,junior_word_list,255;702
hospital,junior_high,病院,,junior_word_list,256
host,junior_high,主人,,junior_word_list,966;1887
hot,junior_high,暑い,,junior_word_list,257
hour,junior_high,1時間,,junior_word_list,258;967
house,junior_high,家、住宅,,junior_word_list,259
how,junior_high,どんな,,junior_word_list,260
how about ~?,junior_high,はどうですか？,,junior_word_list,968
how long ?,junior_high,どれくらいの長さ？,,junior_word_list,1519
how much ?,junior_high,どれくらいの量？,,junior_word_list,1520
how much ~?,junior_high,はいくらですか？,,junior_word_list,970
how to,junior_high,する方法,,junior_word_list,969
however,junior_high,しかしながら、けれども,しかしながら,junior_word_list;high_word_list,971;1894;491
human,junior_high,人間、人,,junior_word_list,972;1521
human being,junior_high,人間,,junior_word_list,1522
human rights,junior_high,人権,,junior_word_list,1523
hundred,junior_high,百,,junior_word_list,261;696
hungry,junior_high,空腹の、飢えた,,junior_word_list,262;721
hunt,junior_high,を狩る,,junior_word_list,973
hunting,junior_high,狩り,,junior_word_list,974
hurry,junior_high,急ぐ,,junior_word_list,975
hurt,junior_high,を傷つける,傷つける,junior_word_list;high_word_list,976;1920;289
husband,junior_high,夫,,junior_word_list,977;1909
i,junior_high,私は[が],,junior_word_list,263
ice,junior_high,氷,,junior_word_list,264;633
idea,junior_high,考え,,junior_word_list,265
if,junior_high,もし～ならば,,junior_word_list,978;1524
ill,junior_high,病気の,,junior_word_list,979
illegal,junior_high,違法な,違法の,junior_word_list;high_word_list,1525;931;1434
illiterate,junior_high,読み書きのできない,,junior_word_list,1526
image,junior_high,画像，印象,,junior_word_list,1527
imagine,junior_high,想像する,,junior_word_list,980;1528
import,junior_high,を輸入する,輸入する,junior_word_list;high_word_list,1529;989;1492
important,junior_high,重要な、大切な,,junior_word_list,266;638
improve,junior_high,を改善する,改善する,junior_word_list;high_word_list,981;982;435
in,junior_high,中に,,junior_word_list,267
in case of,junior_high,の場合には,,junior_word_list,1530
in front of,junior_high,の前に,,junior_word_list,922
in full,junior_high,全部,,junior_word_list,924
in season,junior_high,旬で,,junior_word_list,1531
in the future,junior_high,将来に,,junior_word_list,926
in the middle of,junior_high,の真ん中に,,junior_word_list,1035
in the open air,junior_high,屋外で,,junior_word_list,1532
in those days,junior_high,当時は,,junior_word_list,1533
include,junior_high,を含む,含む,junior_word_list;high_word_list,1534;415
increase,junior_high,を増やす，増大させる,増やす,junior_word_list;high_word_list,1535;238
indeed,junior_high,実に,確かに,junior_word_list;high_word_list,1536;431
independence,junior_high,独立,独立,junior_word_list;high_word_list,1537;579
influence,junior_high,に影響を及ぼす,影響を及ぼす,junior_word_list;high_word_list,983;452
information,junior_high,情報,,junior_word_list,268
injure,junior_high,を傷つける,,junior_word_list,1538
inner,junior_high,内部の，内側の,,junior_word_list,1539
inside,junior_high,内側の,,junior_word_list,984
instead,junior_high,そのかわりに,,junior_word_list,1540
instead of,junior_high,のかわりに,,junior_word_list,1541
instruction,junior_high,指示,指示,junior_word_list;high_word_list,1542;580
interdependent,junior_high,相互に依存している,,junior_word_list,1543
interest,junior_high,興味,,junior_word_list,1544
interested in,junior_high,興味をもっている,,junior_word_list,269
interesting,junior_high,興味深い,,junior_word_list,270;648
international,junior_high,国際的な,国際的な,junior_word_list;high_word_list,1891;346
into,junior_high,～の中へ,,junior_word_list,986;1545
introduce,junior_high,を紹介する,紹介する,junior_word_list;high_word_list,987;1873;284
invent,junior_high,を発明する,発明する,junior_word_list;high_word_list,1546;172
invention,junior_high,発明,,junior_word_list,988
inventor,junior_high,発明家,,junior_word_list,1547
invite,junior_high,を招待する,,junior_word_list,989
iron,junior_high,鉄,,junior_word_list,1548
is,junior_high,です、ます,,junior_word_list,271;272
island,junior_high,島,,junior_word_list,273;695
it,junior_high,それを,,junior_word_list,274;275
its,junior_high,それの、その,,junior_word_list,276
january,junior_high,1月,,junior_word_list,277
japan,junior_high,日本,,junior_word_list,278
japanese,junior_high,日本の,,junior_word_list,279;280
jewel,junior_high,宝石,,junior_word_list,1549
job,junior_high,仕事,,junior_word_list,281
join,junior_high,に参加する,,junior_word_list,282;644
joy,junior_high,喜び,喜び,junior_word_list;high_word_list,1550;583
judge,junior_high,審判員,判断する,junior_word_list;high_word_list,1551;993;1496
july,junior_high,7月,,junior_word_list,283
jump,junior_high,跳ぶ,,junior_word_list,284
june,junior_high,6月,,junior_word_list,285
junior,junior_high,年下の,,junior_word_list,286
junior high school,junior_high,中学校,,junior_word_list,287
just,junior_high,ちょうど、まさに,,junior_word_list,288;1552
keep,junior_high,し続ける,,junior_word_list,990;1553
kept,junior_high,し続けた,,junior_word_list,991
key,junior_high,鍵,,junior_word_list,992
kill,junior_high,を殺す,,junior_word_list,993
kind,junior_high,親切な,,junior_word_list,289;994
kind(s) of ～,junior_high,種類の～,,junior_word_list,995
kindliness,junior_high,親切さ,,junior_word_list,996
king,junior_high,王様,,junior_word_list,290;624
kit,junior_high,道具一式,,junior_word_list,1554
knee,junior_high,ひざ,ひざ,junior_word_list;high_word_list,291;165
knew,junior_high,知っていた,,junior_word_list,997
knife,junior_high,ナイフ,,junior_word_list,998
know,junior_high,を知っている,,junior_word_list,292
knowledge,junior_high,知識,知識,junior_word_list;high_word_list,999;215
lake,junior_high,湖,,junior_word_list,293;667
lamp,junior_high,明かり,,junior_word_list,1555
land,junior_high,土地,,junior_word_list,1000
language,junior_high,言葉,言語,junior_word_list;high_word_list,294;642;495
large,junior_high,大きい、広い,,junior_word_list,295;1556
last,junior_high,この前の,,junior_word_list,296;1001;1557
later,junior_high,～の後で,後に,junior_word_list;high_word_list,297;361
latest,junior_high,最新の,最新の,junior_word_list;high_word_list,1558;1913;2253
laugh,junior_high,笑う,,junior_word_list,1002
law,junior_high,法律,法律,junior_word_list;high_word_list,1003;1559;138
lawyer,junior_high,弁護士,,junior_word_list,1560
lazy,junior_high,怠け者の,,junior_word_list,1561
lead,junior_high,を導く,,junior_word_list,1562
leaf,junior_high,葉,,junior_word_list,1004
learn,junior_high,学ぶ,,junior_word_list,595;1005
leave,junior_high,去る,,junior_word_list,298;1563
left,junior_high,左,,junior_word_list,299;1006
leg,junior_high,脚,,junior_word_list,300;660
legacy,junior_high,遺産,,junior_word_list,1564
lend,junior_high,貸す,,junior_word_list,1007
less,junior_high,もっと少なく,,junior_word_list,1565
lesson,junior_high,授業,,junior_word_list,1008
let,junior_high,～に～をさせる,,junior_word_list,1566
let's,junior_high,～しよう,,junior_word_list,301
letter,junior_high,手紙,,junior_word_list,596;1009;1010
library,junior_high,図書館,,junior_word_list,302
lie,junior_high,嘘,横たわる,junior_word_list;high_word_list,1011;1883;450
life,junior_high,生活,,junior_word_list,303;304;1012
light,junior_high,光,,junior_word_list,305;1013;1014
like,junior_high,を好む,,junior_word_list,306;307
limited,junior_high,限られた,,junior_word_list,1567
line,junior_high,列、並び,,junior_word_list,308;1015;1568
link,junior_high,接続,,junior_word_list,1569
lip,junior_high,唇,,junior_word_list,1570
list,junior_high,表,,junior_word_list,1571
listen,junior_high,聞く,,junior_word_list,309;643
little,junior_high,小さい，かわいい,,junior_word_list,1572;1573
little by little,junior_high,少しずつ,,junior_word_list,797
live,junior_high,住む,,junior_word_list,311;1016
local,junior_high,地方の、地元の,,junior_word_list,312
lonely,junior_high,さびしい,,junior_word_list,313
long,junior_high,長い,,junior_word_list,314;1017;1574
long ago,junior_high,ずっと前に,,junior_word_list,1018
look,junior_high,見る,,junior_word_list,315;316
look forward to ...,junior_high,を楽しみに待つ,,junior_word_list,198
lose,junior_high,負ける,失う,junior_word_list;high_word_list,317;1020;318
loss,junior_high,失うこと，喪失,,junior_word_list,1575
lost,junior_high,負けた,,junior_word_list,318;1576;1577
loud,junior_high,声の大きい,,junior_word_list,1021
lovely,junior_high,美しい,,junior_word_list,1578
low,junior_high,低い,,junior_word_list,1022
luck,junior_high,運、幸運,,junior_word_list,319
lucky,junior_high,幸運な,,junior_word_list,1579
luggage,junior_high,手荷物,,junior_word_list,1023
lullaby,junior_high,子守歌,,junior_word_list,1580
lunch,junior_high,昼食,,junior_word_list,320
machine,junior_high,機械,,junior_word_list,1024
made,junior_high,作った（過去形）,,junior_word_list,321;1581
magazine,junior_high,雑誌,,junior_word_list,1025;1582
make,junior_high,を作る,,junior_word_list,322;1583
make all the difference,junior_high,大きなちがいを生む,,junior_word_list,1584
man,junior_high,男性、男の人,,junior_word_list,323
many,junior_high,たくさんの,,junior_word_list,324;1585
map,junior_high,地図,,junior_word_list,325
march,junior_high,3月,,junior_word_list,326
mark,junior_high,印,,junior_word_list,1586
market,junior_high,市場,市場,junior_word_list;high_word_list,327;657;331
marry,junior_high,結婚する,,junior_word_list,1587
match,junior_high,試合,試合,junior_word_list;high_word_list,1588;590
math,junior_high,数学,,junior_word_list,328;683
matter,junior_high,問題，困ったこと,事柄,junior_word_list;high_word_list,1589;591
may,junior_high,5月,,junior_word_list,329;1026;1027
maybe,junior_high,たぶん、もしかすると,たぶん,junior_word_list;high_word_list,330;483
mayor,junior_high,市長,市長,junior_word_list;high_word_list,1028;330
me,junior_high,私に,,junior_word_list,331;332
mean,junior_high,を意味する,意味する,junior_word_list;high_word_list,333;653;462
meaning,junior_high,意味,,junior_word_list,1029;1882
meant,junior_high,意味した,,junior_word_list,1590
measure,junior_high,をはかる,,junior_word_list,1030
meat,junior_high,肉,,junior_word_list,1031
medicine,junior_high,薬,,junior_word_list,1032
medium,junior_high,中ほどの,中間の,junior_word_list;high_word_list,1033;842;1345
meet,junior_high,と会う,,junior_word_list,334
memory,junior_high,記憶,,junior_word_list,335
merchant,junior_high,商人,商人,junior_word_list;high_word_list,1591;592
metal,junior_high,金属,,junior_word_list,1592
middle,junior_high,真ん中,,junior_word_list,1034
midnight,junior_high,真夜中,,junior_word_list,1915
million,junior_high,100万,100万,junior_word_list;high_word_list,1036;163
mind,junior_high,精神,,junior_word_list,1593
mine,junior_high,私のもの,,junior_word_list,336
mini,junior_high,小型の,,junior_word_list,1594
mining,junior_high,採鉱，採掘,,junior_word_list,1595
minute,junior_high,分,,junior_word_list,337
mirror,junior_high,鏡,,junior_word_list,1037;1596
miss,junior_high,さびしく思う,,junior_word_list,338;1038
mist,junior_high,霧,,junior_word_list,1039
mistake,junior_high,誤り,,junior_word_list,1040
misunderstand,junior_high,を誤解する,,junior_word_list,1041
mix,junior_high,混ぜる,,junior_word_list,1597
modern,junior_high,現代的な,現代の,junior_word_list;high_word_list,1598;369
moment,junior_high,瞬間,瞬間,junior_word_list;high_word_list,339;291
monday,junior_high,月曜日,,junior_word_list,340
money,junior_high,お金,,junior_word_list,341
monkey,junior_high,サル,,junior_word_list,342
month,junior_high,月、１か月,,junior_word_list,343
monthly,junior_high,月に1回の,,junior_word_list,1599
moon,junior_high,月,,junior_word_list,1042
more,junior_high,よりもっと,,junior_word_list,1043;1600
more and more,junior_high,ますます多くの,,junior_word_list,1601
more than,junior_high,より多くの,,junior_word_list,1044;1602
moreover,junior_high,さらに,さらに,junior_word_list;high_word_list,1045;927;1430
morning,junior_high,朝,,junior_word_list,344
most,junior_high,最も,,junior_word_list,1046;1603
mother,junior_high,母,,junior_word_list,345
mountain,junior_high,山,,junior_word_list,346;651
mouse,junior_high,ネズミ、ハツカネズミ,,junior_word_list,347
mouth,junior_high,口,,junior_word_list,348;697
move,junior_high,を動かす,,junior_word_list,1047;1604
movement,junior_high,運動,,junior_word_list,1605
movie,junior_high,映画,,junior_word_list,349
much,junior_high,[動詞を修飾して]おおいに、たいへん,,junior_word_list,350;1048
museum,junior_high,博物館,,junior_word_list,351;676
music,junior_high,音楽,,junior_word_list,352
musical,junior_high,音楽の,,junior_word_list,1606
musician,junior_high,音楽家,音楽家,junior_word_list;high_word_list,353;917;1420
must,junior_high,しなければならない,,junior_word_list,1049
must not,junior_high,してはいけない,,junior_word_list,1050
my,junior_high,私の,,junior_word_list,354
myself,junior_high,私自身,,junior_word_list,1051
name,junior_high,名前,,junior_word_list,355
national,junior_high,国の、国家の,国の,junior_word_list;high_word_list,356;1893;348
natural,junior_high,自然の,自然の,junior_word_list;high_word_list,1052;1892;191
nature,junior_high,自然,自然,junior_word_list;high_word_list,357;705;319
near,junior_high,の近くで,,junior_word_list,358;1053
necessary,junior_high,必要な,必要な,junior_word_list;high_word_list,1054;1898;164
neck,junior_high,首,,junior_word_list,1055
need,junior_high,を必要とする,,junior_word_list,359;360
negative,junior_high,否定的な，良くない,否定の,junior_word_list;high_word_list,1607;845;1348
neighbor,junior_high,近所の人,隣人,junior_word_list;high_word_list,1056;1914;2004;2344
neither,junior_high,～も～もない,,junior_word_list,1608
nest,junior_high,巣,,junior_word_list,1057
net,junior_high,網,,junior_word_list,1609
never,junior_high,今までに一度もしない,,junior_word_list,1058;1610
new,junior_high,新しい,,junior_word_list,361
newspaper,junior_high,新聞,,junior_word_list,362;1611
next-door,junior_high,隣の家、隣の,,junior_word_list,363
nice,junior_high,良い,,junior_word_list,364
night,junior_high,夜,,junior_word_list,365
nine,junior_high,9,,junior_word_list,366
nineteen,junior_high,19,,junior_word_list,367
ninety,junior_high,90,,junior_word_list,368
ninth,junior_high,9番目,,junior_word_list,369
noise,junior_high,騒音,,junior_word_list,1060
noisy,junior_high,騒がしい,,junior_word_list,1613
noon,junior_high,正午,,junior_word_list,370
north,junior_high,北,,junior_word_list,620;724
nose,junior_high,鼻,,junior_word_list,371;678
not,junior_high,でない,,junior_word_list,372
not always,junior_high,いつもとは限らない,,junior_word_list,1615
not at all,junior_high,少しもない,,junior_word_list,1614
not only but also ～,junior_high,だけでなく～もまた,,junior_word_list,1616
note,junior_high,紙幣,,junior_word_list,1617
notebook,junior_high,ノート,,junior_word_list,373
nothing,junior_high,何もない,,junior_word_list,374
november,junior_high,11月,,junior_word_list,375
nuclear,junior_high,核の，原子力の,核の,junior_word_list;high_word_list,1618;655
nuclear power,junior_high,原子力,,junior_word_list,1619
number,junior_high,数、数字,,junior_word_list,376;1620
nurse,junior_high,看護婦,,junior_word_list,377
ocean,junior_high,大洋，海,,junior_word_list,1621
october,junior_high,10月,,junior_word_list,378
of,junior_high,～の,,junior_word_list,1062
of course,junior_high,もちろん,,junior_word_list,114
office,junior_high,事務所,,junior_word_list,379
often,junior_high,よく,,junior_word_list,380
oil,junior_high,油,,junior_word_list,1063;1622
old,junior_high,古い,,junior_word_list,381;1064;1065
on,junior_high,【場所】の上に,,junior_word_list,382;1066
on the way,junior_high,帰る途中で,,junior_word_list,1623
once,junior_high,かつて,,junior_word_list,1067;1885
one,junior_high,1,,junior_word_list,383
one by one,junior_high,1つずつ,,junior_word_list,1624
only,junior_high,～だけ,,junior_word_list,384
open,junior_high,を開ける,,junior_word_list,385
operation,junior_high,手術,操作,junior_word_list;high_word_list,1069;599
opinion,junior_high,意見，考え,意見,junior_word_list;high_word_list,1625;463
or,junior_high,そうしなければ,,junior_word_list,1626;1627
order,junior_high,注文する,命令,junior_word_list;high_word_list,1628;134
ordinary,junior_high,ふつうの,普通の,junior_word_list;high_word_list,1629;69
originally,junior_high,はじめは,,junior_word_list,1070
other,junior_high,他の,,junior_word_list,386;1071
our,junior_high,私たちの,,junior_word_list,387
ours,junior_high,私たちのもの,,junior_word_list,388
out,junior_high,外に,,junior_word_list,389;1630
outside,junior_high,外で,,junior_word_list,390;1073;1631
over,junior_high,向こうへ,,junior_word_list,391;1074;1632
over here,junior_high,こちらに,,junior_word_list,1075
overseas,junior_high,海外の,,junior_word_list,1077;1633
own,junior_high,自分自身の,自身の,junior_word_list;high_word_list,1078;320
paid,junior_high,支払い済みの,,junior_word_list,1079
pain,junior_high,痛み,痛み,junior_word_list;high_word_list,1634;602
paint,junior_high,描く,,junior_word_list,1080
painter,junior_high,画家,,junior_word_list,1635
painting,junior_high,絵をかくこと,,junior_word_list,393
pair,junior_high,一組,,junior_word_list,1636
pal,junior_high,友だち,,junior_word_list,1637
palace,junior_high,宮殿,,junior_word_list,1638
pale,junior_high,青ざめた,,junior_word_list,1639
paper,junior_high,紙,,junior_word_list,1081
paper crane,junior_high,折り鶴,,junior_word_list,1640
parent,junior_high,親,,junior_word_list,394
park,junior_high,公園,,junior_word_list,395
parking lot,junior_high,駐車場,,junior_word_list,1641
part,junior_high,部分,,junior_word_list,1082
pass,junior_high,を通り過ぎる,,junior_word_list,396;1083
pass by,junior_high,通り過ぎる,,junior_word_list,1642
past,junior_high,過去の,過去の,junior_word_list;high_word_list,1084;442
pay,junior_high,払う,,junior_word_list,1085
peace,junior_high,平和,,junior_word_list,1086;1643
peaceful,junior_high,平和な,,junior_word_list,1644
pencil,junior_high,鉛筆,,junior_word_list,397;1645
people,junior_high,人々,,junior_word_list,398;623
perfect,junior_high,完全な,,junior_word_list,1087
perform,junior_high,演じる,,junior_word_list,399
perhaps,junior_high,多分,,junior_word_list,1646
period,junior_high,期間、時間,期間,junior_word_list;high_word_list,400;1647;409
person,junior_high,人,,junior_word_list,1088;1648
personal,junior_high,個人の,,junior_word_list,1649
photograph,junior_high,写真,,junior_word_list,1089
pick,junior_high,を摘む,,junior_word_list,401;713
picture,junior_high,絵、写真,,junior_word_list,402
piece,junior_high,断片,,junior_word_list,1090
pig,junior_high,ブタ,,junior_word_list,403;709
place,junior_high,場所,,junior_word_list,404
plan,junior_high,を計画する,,junior_word_list,405;1091
plane,junior_high,飛行機,,junior_word_list,610
planet,junior_high,惑星,,junior_word_list,1092
plant,junior_high,植物,植物,junior_word_list;high_word_list,1093;1917;276
plastic bag,junior_high,ビニールぶくろ,,junior_word_list,1650
plate,junior_high,お皿,,junior_word_list,1094;1919
play,junior_high,を演奏する,,junior_word_list,406;407;1866
player,junior_high,選手,,junior_word_list,408
playful,junior_high,楽しげな,,junior_word_list,1095
please,junior_high,気に入る，喜ばせる,,junior_word_list,1651
pleased,junior_high,喜んで,,junior_word_list,1652
pleasure,junior_high,喜び,楽しみ,junior_word_list;high_word_list,409;428
pm,junior_high,午後,,junior_word_list,392
poem,junior_high,詩,,junior_word_list,1653
poet,junior_high,詩人,詩人,junior_word_list;high_word_list,1654;705
point,junior_high,特徴，論点,,junior_word_list,1655;1656
police,junior_high,警察官,,junior_word_list,410;699
police officer,junior_high,警察官,,junior_word_list,1657
policeman,junior_high,警官,,junior_word_list,1658
pond,junior_high,池,,junior_word_list,704
poor,junior_high,貧しい,,junior_word_list,411;720
popular,junior_high,人気のある,人気のある,junior_word_list;high_word_list,412;656;262
populous,junior_high,人口の多い,,junior_word_list,1659
pork,junior_high,豚肉,,junior_word_list,1096;1660
port,junior_high,港,,junior_word_list,1097
positive,junior_high,前向きな,自信のある,junior_word_list;high_word_list,1661;1139;1642
possible,junior_high,可能な,可能な,junior_word_list;high_word_list,1662;446
practice,junior_high,を練習する,,junior_word_list,413;414;652
precious,junior_high,貴重な,貴重な,junior_word_list;high_word_list,1098;1931;2271
prepared,junior_high,用意ができている,,junior_word_list,1663
preserve,junior_high,を保存する,保存,junior_word_list;high_word_list,1099;645
president,junior_high,大統領,社長,junior_word_list;high_word_list,1664;310
pretty,junior_high,かわいい，きれいな,かなり,junior_word_list;high_word_list,1665;497
price,junior_high,値段,値段,junior_word_list;high_word_list,1100;218
prince,junior_high,王子,,junior_word_list,1666
print,junior_high,を印刷する,,junior_word_list,1667
prize,junior_high,賞,,junior_word_list,1668
probably,junior_high,多分,おそらく,junior_word_list;high_word_list,1930;1932;500
problem,junior_high,問題,,junior_word_list,415;1875
produce,junior_high,を生産する,,junior_word_list,1101
product,junior_high,製品,,junior_word_list,1102
professor,junior_high,教授,,junior_word_list,1103
progress,junior_high,進歩,進歩,junior_word_list;high_word_list,1104;1669;263
promise,junior_high,約束,,junior_word_list,1670
protect,junior_high,を守る，保護する,守る,junior_word_list;high_word_list,1671;27
protest,junior_high,抗議する,抗議する,junior_word_list;high_word_list,1672;1673;1998;2338
pull,junior_high,を引く,,junior_word_list,1105
purple,junior_high,紫色,,junior_word_list,416
pursue,junior_high,を追い求める,追い求める,junior_word_list;high_word_list,1674;1126;1629
push,junior_high,を押す,,junior_word_list,1106
