expression,normalized_expression,entry_kind,meaning_ja_primary,meaning_ja_all,parari_level,importance,min_eiken_level,eiken_levels,label_raw_all,source_refs,row_count,hold_reason
emigration,emigration,word,移住,移住,exam,3,pre1,pre1,名詞,pre1:1972,1,pre1_or_1_deferred
eminent,eminent,word,著名な，身分の高い,著名な，身分の高い,exam,3,pre1,pre1,形容詞,pre1:1708,1,pre1_or_1_deferred
emission,emission,word,排出，放射,排出，放射,exam,3,pre1,pre1,名詞,pre1:1918,1,pre1_or_1_deferred
emit,emit,word,を放射する，発する,を放射する，発する,exam,3,pre1,pre1,動詞,pre1:2196,1,pre1_or_1_deferred
empathy,empathy,word,共感，感情移入,共感，感情移入,exam,3,pre1,pre1;1,名詞,pre1:3316;1:56,2,pre1_or_1_deferred
enact,enact,word,を制定する，法令化する,を制定する，法令化する,exam,3,pre1,pre1,動詞,pre1:2954,1,pre1_or_1_deferred
enchant,enchant,word,心を奪う,心を奪う,exam,3,pre1,pre1,動詞,pre1:1675,1,pre1_or_1_deferred
enclose,enclose,word,を囲む，同封する,を囲む，同封する / 囲む，同封する,exam,3,pre1,pre1;1,動詞,pre1:375;1:861,2,pre1_or_1_deferred
encyclopedia,encyclopedia,word,百科事典,百科事典,exam,3,pre1,pre1,名詞,pre1:2043,1,pre1_or_1_deferred
endeavor,endeavor,word,努力する,努力する,exam,3,pre1,pre1,動詞,pre1:1220,1,pre1_or_1_deferred
endorse,endorse,word,を支持する，裏書きする,を支持する，裏書きする,exam,3,pre1,pre1,動詞,pre1:1991,1,pre1_or_1_deferred
endurance,endurance,word,忍耐，がまん,忍耐，がまん,exam,3,pre1,pre1,名詞,pre1:985,1,pre1_or_1_deferred
enforce,enforce,word,を実行する，実施する,を実行する，実施する,exam,3,pre1,pre1,動詞,pre1:1811,1,pre1_or_1_deferred
engagement,engagement,word,約束，取り決め,約束，取り決め,exam,3,pre1,pre1,名詞,pre1:337,1,pre1_or_1_deferred
enlist,enlist,word,入隊する，参加する,入隊する，参加する,exam,3,pre1,pre1,動詞,pre1:3117,1,pre1_or_1_deferred
enmity,enmity,word,敵意，憎しみ,敵意，憎しみ,exam,3,pre1,pre1,名詞,pre1:2447,1,pre1_or_1_deferred
enrage,enrage,word,激怒させる,激怒させる,exam,3,pre1,pre1,動詞,pre1:2427,1,pre1_or_1_deferred
enrichment,enrichment,word,濃縮，豊かにすること,濃縮，豊かにすること,exam,3,pre1,pre1,名詞,pre1:2621,1,pre1_or_1_deferred
enroll,enroll,word,入学する,入学する,exam,3,pre1,pre1,動詞,pre1:2083,1,pre1_or_1_deferred
entangle,entangle,word,を絡ませる，もつれさせる,を絡ませる，もつれさせる,exam,3,pre1,pre1,動詞,pre1:2204,1,pre1_or_1_deferred
enthusiastic,enthusiastic,word,熱狂的な，熱烈な,熱狂的な，熱烈な,exam,3,pre1,pre1,形容詞,pre1:371,1,pre1_or_1_deferred
entice,entice,word,誘惑する，魅惑する,誘惑する，魅惑する,exam,3,pre1,pre1;1,動詞,pre1:2695;1:398,2,pre1_or_1_deferred
entity,entity,word,実在，実体,実在，実体,exam,3,pre1,pre1,名詞,pre1:2163,1,pre1_or_1_deferred
entrepreneur,entrepreneur,word,起業家,起業家,exam,3,pre1,pre1,名詞,pre1:2041,1,pre1_or_1_deferred
entrust,entrust,word,委託する,委託する / 委託する，依頼する,exam,3,pre1,pre1;1,動詞,pre1:2895;1:696,2,pre1_or_1_deferred
envelop,envelop,word,包む，包装する,包む，包装する,exam,3,pre1,pre1;1,動詞,pre1:1572;1:226,2,pre1_or_1_deferred
envious,envious,word,羨ましい，妬ましい,羨ましい，妬ましい,exam,3,pre1,pre1;1,形容詞,pre1:1207;1:275,2,pre1_or_1_deferred
envision,envision,word,想像する，思い描く,想像する，思い描く,exam,3,pre1,pre1;1,動詞,pre1:2945;1:353,2,pre1_or_1_deferred
envoy,envoy,word,使者、代理人や遣使,使者、代理人や遣使 / 使者，代理人や遣使,exam,3,pre1,pre1;1,名詞,pre1:3275;1:1736,2,pre1_or_1_deferred
epic,epic,word,大作，壮大な作品,大作，壮大な作品,exam,3,pre1,pre1;1,名詞,pre1:2709;1:46,2,pre1_or_1_deferred
epidemic,epidemic,word,流行性の，伝染性の,流行性の，伝染性の,exam,3,pre1,pre1,形容詞,pre1:2091,1,pre1_or_1_deferred
epoch,epoch,word,時代，歴史の節目,時代，歴史の節目,exam,3,pre1,pre1;1,名詞,pre1:1873;1:182,2,pre1_or_1_deferred
equation,equation,word,方程式,方程式,exam,3,pre1,pre1,名詞,pre1:981,1,pre1_or_1_deferred
equator,equator,word,赤道，赤道線，赤道面,赤道，赤道線，赤道面 / 赤道，赤道線,exam,3,pre1,pre1;1,名詞,pre1:1562;1:318,2,pre1_or_1_deferred
equilibrium,equilibrium,word,均衡，つり合い,均衡，つり合い,exam,3,pre1,pre1,名詞,pre1:2093,1,pre1_or_1_deferred
equity,equity,word,公平，公正,公平，公正,exam,3,pre1,pre1,名詞,pre1:2160,1,pre1_or_1_deferred
erect,erect,word,直立の，まっすぐな,直立の，まっすぐな,exam,3,pre1,pre1,形容詞,pre1:754,1,pre1_or_1_deferred
errand,errand,word,使い走り,使い走り,exam,3,pre1,pre1,名詞,pre1:482,1,pre1_or_1_deferred
erroneous,erroneous,word,誤った，間違えた,誤った，間違えた,exam,3,pre1,pre1;1,形容詞,pre1:2434;1:407,2,pre1_or_1_deferred
erupt,erupt,word,噴火する,噴火する,exam,3,pre1,pre1,動詞,pre1:2738,1,pre1_or_1_deferred
eruption,eruption,word,噴火，爆発,噴火，爆発,exam,3,pre1,pre1;1,名詞,pre1:1971;1:205,2,pre1_or_1_deferred
essence,essence,word,本質，真髄,本質，真髄,exam,3,pre1,pre1,名詞,pre1:149,1,pre1_or_1_deferred
essential,essential,word,不可欠な,不可欠な,exam,3,pre1,pre1,形容詞,pre1:3263,1,pre1_or_1_deferred
esteem,esteem,word,を尊重する，尊敬する,を尊重する，尊敬する / 尊重する，敬う,exam,3,pre1,pre1;1,動詞,pre1:717;1:1571,2,pre1_or_1_deferred
eternal,eternal,word,永遠の，永遠不変の,永遠の，永遠不変の,exam,3,pre1,pre1;1,形容詞,pre1:712;1:310,2,pre1_or_1_deferred
eternally,eternally,word,永遠に,永遠に,exam,3,pre1,pre1,副詞,pre1:1282,1,pre1_or_1_deferred
ethical,ethical,word,倫理的な,倫理的な,exam,3,pre1,pre1,形容詞,pre1:1177,1,pre1_or_1_deferred
ethics,ethics,word,倫理,倫理,exam,3,pre1,pre1,名詞,pre1:1117,1,pre1_or_1_deferred
evacuate,evacuate,word,避難する，逃避する,避難する，逃避する,exam,3,pre1,pre1;1,動詞,pre1:2650;1:473,2,pre1_or_1_deferred
evade,evade,word,避ける，避ける,避ける，避ける,exam,3,pre1,pre1;1,動詞,pre1:2804;1:253,2,pre1_or_1_deferred
evaluation,evaluation,word,評価，査定,評価，査定,exam,3,pre1,pre1,名詞,pre1:678,1,pre1_or_1_deferred
evaporate,evaporate,word,蒸発する,蒸発する,exam,3,pre1,pre1,動詞,pre1:2901,1,pre1_or_1_deferred
evasion,evasion,word,回避/避ける,回避/避ける / 回避，避ける,exam,3,pre1,pre1;1,名詞,pre1:3078;1:931,2,pre1_or_1_deferred
evenly,evenly,word,均等に，等しく,均等に，等しく,exam,3,pre1,pre1,副詞,pre1:1820,1,pre1_or_1_deferred
eventual,eventual,word,最終的な，究極的な,最終的な，究極的な,exam,3,pre1,pre1;1,形容詞,pre1:1831;1:373,2,pre1_or_1_deferred
evergreen,evergreen,word,常緑の,常緑の,exam,3,pre1,pre1,形容詞,pre1:2759,1,pre1_or_1_deferred
exaggeration,exaggeration,word,誇張,誇張 / 誇張，過大評価，過大視,exam,3,pre1,pre1;1,名詞,pre1:1308;1:1909,2,pre1_or_1_deferred
exalt,exalt,word,高揚する,高揚する,exam,3,pre1,pre1,動詞,pre1:2262,1,pre1_or_1_deferred
examiner,examiner,word,審査官，試験官,審査官，試験官,exam,3,pre1,pre1,名詞,pre1:1279,1,pre1_or_1_deferred
exceed,exceed,word,を超える，超過する,を超える，超過する,exam,3,pre1,pre1,動詞,pre1:905,1,pre1_or_1_deferred
excel,excel,word,勝る，優れる，上回る,勝る，優れる，上回る,exam,3,pre1,pre1;1,動詞,pre1:1704;1:336,2,pre1_or_1_deferred
exceptional,exceptional,word,例外の，まれな,例外の，まれな,exam,3,pre1,pre1,形容詞,pre1:1089,1,pre1_or_1_deferred
excerpt,excerpt,word,抜粋，引用句,抜粋，引用句 / 抜粋，引用,exam,3,pre1,pre1;1,名詞,pre1:2433;1:568,2,pre1_or_1_deferred
exclaim,exclaim,word,を叫ぶ，大声で言う,を叫ぶ，大声で言う,exam,3,pre1,pre1,動詞,pre1:832,1,pre1_or_1_deferred
exclamation,exclamation,word,感嘆，叫び,感嘆，叫び / 感嘆,exam,3,pre1,pre1;1,名詞,pre1:1492;1:3173,2,pre1_or_1_deferred
exclusion,exclusion,word,除外,除外,exam,3,pre1,pre1,名詞,pre1:1931,1,pre1_or_1_deferred
exclusively,exclusively,word,排他的に，限定して,排他的に，限定して,exam,3,pre1,pre1;1,副詞,pre1:1086;1:44,2,pre1_or_1_deferred
excursion,excursion,word,遠足,遠足 / 遠足，日帰り旅行,exam,3,pre1,pre1;1,名詞,pre1:1194;1:1050,2,pre1_or_1_deferred
execute,execute,word,を実行する，遂行する,を実行する，遂行する,exam,3,pre1,pre1,動詞,pre1:991,1,pre1_or_1_deferred
execution,execution,word,実行，遂行,実行，遂行,exam,3,pre1,pre1,名詞,pre1:1609,1,pre1_or_1_deferred
exempt,exempt,word,を免除する,を免除する,exam,3,pre1,pre1,動詞,pre1:2451,1,pre1_or_1_deferred
exertion,exertion,word,尽力，努力,尽力，努力,exam,3,pre1,pre1,名詞,pre1:2788,1,pre1_or_1_deferred
exhaustion,exhaustion,word,枯渇，疲労,枯渇，疲労,exam,3,pre1,pre1,名詞,pre1:1033,1,pre1_or_1_deferred
exile,exile,word,亡命，国外追放,亡命，国外追放,exam,3,pre1,pre1,名詞,pre1:1528,1,pre1_or_1_deferred
exotic,exotic,word,異国情緒の，外国の,異国情緒の，外国の,exam,3,pre1,pre1,形容詞,pre1:2124,1,pre1_or_1_deferred
expanse,expanse,word,広がり,広がり,exam,3,pre1,pre1,名詞,pre1:1989,1,pre1_or_1_deferred
expedition,expedition,word,遠征,遠征,exam,3,pre1,pre1,名詞,pre1:583,1,pre1_or_1_deferred
expel,expel,word,を追放する，除名する,を追放する，除名する,exam,3,pre1,pre1,動詞,pre1:2190,1,pre1_or_1_deferred
expend,expend,word,費やす，消費する,費やす，消費する,exam,3,pre1,pre1,動詞,pre1:1690,1,pre1_or_1_deferred
expenditure,expenditure,word,消費，経費,消費，経費,exam,3,pre1,pre1,名詞,pre1:1941,1,pre1_or_1_deferred
experimental,experimental,word,実験的な，実験の,実験的な，実験の,exam,3,pre1,pre1,形容詞,pre1:642,1,pre1_or_1_deferred
expertise,expertise,word,専門知識,専門知識,exam,3,pre1,pre1,名詞,pre1:1595,1,pre1_or_1_deferred
explicit,explicit,word,明らかな，はっきりとした,明らかな，はっきりとした,exam,3,pre1,pre1;1,形容詞,pre1:2141;1:458,2,pre1_or_1_deferred
exploit,exploit,word,偉業，業績,偉業，業績,exam,3,pre1,pre1;1,名詞,pre1:1127;1:115,2,pre1_or_1_deferred
exploration,exploration,word,探査，探索,探査，探索,exam,3,pre1,pre1;1,名詞,pre1:835;1:264,2,pre1_or_1_deferred
expressive,expressive,word,表現力豊かな，表現に富む,表現力豊かな，表現に富む,exam,3,pre1,pre1,形容詞,pre1:1432,1,pre1_or_1_deferred
exquisite,exquisite,word,絶妙な，見事な,絶妙な，見事な,exam,3,pre1,pre1;1,形容詞,pre1:1549;1:438,2,pre1_or_1_deferred
extinguish,extinguish,word,を消す,を消す,exam,3,pre1,pre1,動詞,pre1:2209,1,pre1_or_1_deferred
extravagance,extravagance,word,浪費,浪費,exam,3,pre1,pre1,名詞,pre1:2500,1,pre1_or_1_deferred
extravagant,extravagant,word,贅沢な，無駄遣いの,贅沢な，無駄遣いの,exam,3,pre1,pre1,形容詞,pre1:2109,1,pre1_or_1_deferred
eyelash,eyelash,word,まつげ,まつげ,exam,3,pre1,pre1,名詞,pre1:1774,1,pre1_or_1_deferred
eyelid,eyelid,word,まぶた,まぶた,exam,3,pre1,pre1,名詞,pre1:1645,1,pre1_or_1_deferred
fable,fable,word,作り話,作り話 / 寓話,exam,3,pre1,pre1;1,名詞,pre1:1252;1:2551,2,pre1_or_1_deferred
fabricate,fabricate,word,作り上げる，でっち上げる,作り上げる，でっち上げる,exam,3,pre1,pre1;1,動詞,pre1:3023;1:4185,2,pre1_or_1_deferred
fabulous,fabulous,word,素晴らしい,素晴らしい,exam,3,pre1,pre1,形容詞,pre1:2726,1,pre1_or_1_deferred
facade,facade,word,正面，真正面,正面，真正面,exam,3,pre1,pre1,名詞,pre1:3177,1,pre1_or_1_deferred
facile,facile,word,安易な，手軽な,安易な，手軽な,exam,3,pre1,pre1;1,形容詞,pre1:3207;1:664,2,pre1_or_1_deferred
facilitate,facilitate,word,を促進する，楽にする,を促進する，楽にする,exam,3,pre1,pre1,動詞,pre1:2315,1,pre1_or_1_deferred
faction,faction,word,派閥，党派,派閥，党派,exam,3,pre1,pre1;1,名詞,pre1:2203;1:488,2,pre1_or_1_deferred
faculty,faculty,word,学部,学部,exam,3,pre1,pre1,名詞,pre1:1235,1,pre1_or_1_deferred
fad,fad,word,流行,流行,exam,3,pre1,pre1,名詞,pre1:2258,1,pre1_or_1_deferred
faint,faint,word,かすかな，ぼんやりした,かすかな，ぼんやりした,exam,3,pre1,pre1,形容詞,pre1:410,1,pre1_or_1_deferred
fairness,fairness,word,公平さ,公平さ,exam,3,pre1,pre1,名詞,pre1:484,1,pre1_or_1_deferred
faithful,faithful,word,忠実な，誠実な,忠実な，誠実な,exam,3,pre1,pre1,形容詞,pre1:364,1,pre1_or_1_deferred
faithfully,faithfully,word,忠実に，誠実に,忠実に，誠実に,exam,3,pre1,pre1,副詞,pre1:688,1,pre1_or_1_deferred
faithless,faithless,word,不誠実な，不実な,不誠実な，不実な,exam,3,pre1,pre1,形容詞,pre1:2426,1,pre1_or_1_deferred
falsify,falsify,word,改ざんする,改ざんする,exam,3,pre1,pre1,動詞,pre1:3163,1,pre1_or_1_deferred
fanatical,fanatical,word,熱狂的な，熱烈な,熱狂的な，熱烈な,exam,3,pre1,pre1,形容詞,pre1:128,1,pre1_or_1_deferred
faraway,faraway,word,遠くの,遠くの,exam,3,pre1,pre1,形容詞,pre1:1093,1,pre1_or_1_deferred
farewell,farewell,word,別れ,別れ,exam,3,pre1,pre1,名詞,pre1:651,1,pre1_or_1_deferred
fascinating,fascinating,word,魅惑的な，うっとりさせる,魅惑的な，うっとりさせる,exam,3,pre1,pre1,形容詞,pre1:523,1,pre1_or_1_deferred
fascination,fascination,word,魅惑,魅惑,exam,3,pre1,pre1,名詞,pre1:1942,1,pre1_or_1_deferred
fasten,fasten,word,を固定する，締める,を固定する，締める,exam,3,pre1,pre1,動詞,pre1:447,1,pre1_or_1_deferred
fatal,fatal,word,致命的な，運命の,致命的な，運命の,exam,3,pre1,pre1,形容詞,pre1:416,1,pre1_or_1_deferred
fatherland,fatherland,word,祖国,祖国,exam,3,pre1,pre1,名詞,pre1:2641,1,pre1_or_1_deferred
favorable,favorable,word,好ましい，有利な,好ましい，有利な,exam,3,pre1,pre1;1,形容詞,pre1:311;1:128,2,pre1_or_1_deferred
feasible,feasible,word,実行可能な，可能性のある,実行可能な，可能性のある,exam,3,pre1,pre1;1,形容詞,pre1:3075;1:218,2,pre1_or_1_deferred
feast,feast,word,ごちそう，祝祭,ごちそう，祝祭,exam,3,pre1,pre1,名詞,pre1:609,1,pre1_or_1_deferred
feat,feat,word,偉業，功績,偉業，功績 / 偉業,exam,3,pre1,pre1;1,名詞,pre1:2851;1:3181,2,pre1_or_1_deferred
federation,federation,word,連合，連盟,連合，連盟,exam,3,pre1,pre1,名詞,pre1:1016,1,pre1_or_1_deferred
feeble,feeble,word,弱った，虚弱な,弱った，虚弱な / 弱々しい,exam,3,pre1,pre1;1,形容詞,pre1:1369;1:2964,2,pre1_or_1_deferred
feminine,feminine,word,女性らしい,女性らしい,exam,3,pre1,pre1,形容詞,pre1:1939,1,pre1_or_1_deferred
feminist,feminist,word,男女同権主義者,男女同権主義者,exam,3,pre1,pre1;1,名詞,pre1:1129;1:401,2,pre1_or_1_deferred
ferocious,ferocious,word,どう猛な，恐ろしい,どう猛な，恐ろしい / どう猛な，激しい,exam,3,pre1,pre1;1,形容詞,pre1:2964;1:745,2,pre1_or_1_deferred
fertile,fertile,word,肥沃な，多産の,肥沃な，多産の,exam,3,pre1,pre1;1,形容詞,pre1:612;1:83,2,pre1_or_1_deferred
fetch,fetch,word,を取ってくる,を取ってくる,exam,3,pre1,pre1,動詞,pre1:658,1,pre1_or_1_deferred
feudal,feudal,word,領地の，封建の,領地の，封建の,exam,3,pre1,pre1,形容詞,pre1:2602,1,pre1_or_1_deferred
feverish,feverish,word,熱っぽい,熱っぽい,exam,3,pre1,pre1,形容詞,pre1:1630,1,pre1_or_1_deferred
fiction,fiction,word,創作，作り話,創作，作り話,exam,3,pre1,pre1,名詞,pre1:122,1,pre1_or_1_deferred
fidelity,fidelity,word,忠実度,忠実度,exam,3,pre1,pre1,名詞,pre1:3141,1,pre1_or_1_deferred
fierce,fierce,word,激しい，凶暴な,激しい，凶暴な,exam,3,pre1,pre1,形容詞,pre1:653,1,pre1_or_1_deferred
fiery,fiery,word,燃え立つような,燃え立つような,exam,3,pre1,pre1,形容詞,pre1:1848,1,pre1_or_1_deferred
filament,filament,word,細糸，線条,細糸，線条,exam,3,pre1,pre1,名詞,pre1:204,1,pre1_or_1_deferred
fingertip,fingertip,word,指先,指先,exam,3,pre1,pre1,名詞,pre1:2472,1,pre1_or_1_deferred
finite,finite,word,有限の，限りある,有限の，限りある,exam,3,pre1,pre1,形容詞,pre1:2294,1,pre1_or_1_deferred
fiscal,fiscal,word,財政上の，国庫の,財政上の，国庫の,exam,3,pre1,pre1,形容詞,pre1:1564,1,pre1_or_1_deferred
fixture,fixture,word,備品,備品,exam,3,pre1,pre1,名詞,pre1:2632,1,pre1_or_1_deferred
flair,flair,word,才能，能力,才能，能力,exam,3,pre1,pre1,名詞,pre1:2673,1,pre1_or_1_deferred
flammable,flammable,word,可燃性,可燃性,exam,3,pre1,pre1,形容詞,pre1:3329,1,pre1_or_1_deferred
flap,flap,word,羽ばたく,羽ばたく,exam,3,pre1,pre1,動詞,pre1:1575,1,pre1_or_1_deferred
flash,flash,word,閃光,閃光,exam,3,pre1,pre1,名詞,pre1:137,1,pre1_or_1_deferred
flatter,flatter,word,にお世辞を言う,にお世辞を言う,exam,3,pre1,pre1,動詞,pre1:815,1,pre1_or_1_deferred
flattery,flattery,word,お世辞，おべっか,お世辞，おべっか,exam,3,pre1,pre1,名詞,pre1:1500,1,pre1_or_1_deferred
flaw,flaw,word,欠点,欠点,exam,3,pre1,pre1,名詞,pre1:2677,1,pre1_or_1_deferred
fleet,fleet,word,艦隊,艦隊,exam,3,pre1,pre1,名詞,pre1:986,1,pre1_or_1_deferred
flexible,flexible,word,柔軟な，しなやかな,柔軟な，しなやかな,exam,3,pre1,pre1,形容詞,pre1:608,1,pre1_or_1_deferred
fling,fling,word,を投げ飛ばす,を投げ飛ばす / 投げる,exam,3,pre1,pre1;1,動詞,pre1:1217;1:3293,2,pre1_or_1_deferred
flock,flock,word,群れ，集団,群れ，集団,exam,3,pre1,pre1,名詞,pre1:79,1,pre1_or_1_deferred
flour,flour,word,小麦粉,小麦粉,exam,3,pre1,pre1,名詞,pre1:263,1,pre1_or_1_deferred
flourish,flourish,word,繁栄する，栄える,繁栄する，栄える,exam,3,pre1,pre1,動詞,pre1:689,1,pre1_or_1_deferred
flu,flu,word,インフルエンザ,インフルエンザ,exam,3,pre1,pre1,名詞,pre1:475,1,pre1_or_1_deferred
fluent,fluent,word,流暢な,流暢な,exam,3,pre1,pre1,形容詞,pre1:650,1,pre1_or_1_deferred
fluid,fluid,word,液体，流動体,液体，流動体,exam,3,pre1,pre1,名詞,pre1:1145,1,pre1_or_1_deferred
flush,flush,word,流す,流す,exam,3,pre1,pre1,動詞,pre1:1844,1,pre1_or_1_deferred
foam,foam,word,小さな泡，微細な泡,小さな泡，微細な泡,exam,3,pre1,pre1;1,名詞,pre1:856;1:451,2,pre1_or_1_deferred
foe,foe,word,敵,敵,exam,3,pre1,pre1,名詞,pre1:3034,1,pre1_or_1_deferred
foggy,foggy,word,霧のかかった,霧のかかった,exam,3,pre1,pre1,形容詞,pre1:1852,1,pre1_or_1_deferred
foil,foil,word,箔，金属の箔,箔，金属の箔,exam,3,pre1,pre1,名詞,pre1:3368,1,pre1_or_1_deferred
folklore,folklore,word,民話,民話,exam,3,pre1,pre1,名詞,pre1:1713,1,pre1_or_1_deferred
folly,folly,word,愚かさ，愚劣,愚かさ，愚劣 / 愚かな，馬鹿な,exam,3,pre1,pre1;1,名詞,pre1:1412;1:667,2,pre1_or_1_deferred
footnote,footnote,word,脚注,脚注,exam,3,pre1,pre1,名詞,pre1:2576,1,pre1_or_1_deferred
forbid,forbid,word,を禁じる，禁止する,を禁じる，禁止する,exam,3,pre1,pre1,動詞,pre1:696,1,pre1_or_1_deferred
forceful,forceful,word,力強い，強い,力強い，強い,exam,3,pre1,pre1,形容詞,pre1:1814,1,pre1_or_1_deferred
forcible,forcible,word,強制的な，強い,強制的な，強い,exam,3,pre1,pre1;1,形容詞,pre1:2908;1:122,2,pre1_or_1_deferred
fore,fore,word,前方の，前部の,前方の，前部の,exam,3,pre1,pre1,形容詞,pre1:2667,1,pre1_or_1_deferred
forearm,forearm,word,前腕部,前腕部,exam,3,pre1,pre1,名詞,pre1:2449,1,pre1_or_1_deferred
forefather,forefather,word,先祖，祖先,先祖，祖先,exam,3,pre1,pre1,名詞,pre1:1904,1,pre1_or_1_deferred
forefinger,forefinger,word,人差し指,人差し指,exam,3,pre1,pre1,名詞,pre1:2868,1,pre1_or_1_deferred
forehead,forehead,word,おでこ，ひたい,おでこ，ひたい,exam,3,pre1,pre1,名詞,pre1:630,1,pre1_or_1_deferred
foresee,foresee,word,予見する，予測する,予見する，予測する,exam,3,pre1,pre1;1,動詞,pre1:1826;1:351,2,pre1_or_1_deferred
foretell,foretell,word,を予告する，予言する,を予告する，予言する,exam,3,pre1,pre1,動詞,pre1:2721,1,pre1_or_1_deferred
forgery,forgery,word,偽造,偽造,exam,3,pre1,pre1;1,名詞,pre1:3260;1:2559,2,pre1_or_1_deferred
forgetful,forgetful,word,忘れっぽい，忘れやすい,忘れっぽい，忘れやすい,exam,3,pre1,pre1,形容詞,pre1:857,1,pre1_or_1_deferred
forgive,forgive,word,を許す，大目に見る,を許す，大目に見る,exam,3,pre1,pre1,動詞,pre1:21,1,pre1_or_1_deferred
formerly,formerly,word,以前は，かつて,以前は，かつて,exam,3,pre1,pre1,副詞,pre1:310,1,pre1_or_1_deferred
formidable,formidable,word,恐ろしい，手ごわい,恐ろしい，手ごわい,exam,3,pre1,pre1;1,形容詞,pre1:1760;1:166,2,pre1_or_1_deferred
formulate,formulate,word,策定する，計画する,策定する，計画する,exam,3,pre1,pre1;1,動詞,pre1:1792;1:479,2,pre1_or_1_deferred
forsake,forsake,word,を見捨てる，突き放す,を見捨てる，突き放す,exam,3,pre1,pre1,動詞,pre1:1821,1,pre1_or_1_deferred
forthcoming,forthcoming,word,今後の,今後の,exam,3,pre1,pre1,形容詞,pre1:1867,1,pre1_or_1_deferred
fortnight,fortnight,word,二週間,二週間,exam,3,pre1,pre1,名詞,pre1:1338,1,pre1_or_1_deferred
fortunate,fortunate,word,幸運な，運の良い,幸運な，運の良い,exam,3,pre1,pre1,形容詞,pre1:248,1,pre1_or_1_deferred
forum,forum,word,公開討論会,公開討論会,exam,3,pre1,pre1,名詞,pre1:1669,1,pre1_or_1_deferred
foster,foster,word,を養育する，の世話をする,を養育する，の世話をする,exam,3,pre1,pre1,動詞,pre1:1359,1,pre1_or_1_deferred
fountain,fountain,word,噴水，泉,噴水，泉,exam,3,pre1,pre1,名詞,pre1:107,1,pre1_or_1_deferred
fragrant,fragrant,word,香りのよい，香り高い,香りのよい，香り高い / 香ばしい,exam,3,pre1,pre1;1,形容詞,pre1:2657;1:2101,2,pre1_or_1_deferred
frail,frail,word,もろい，か弱い,もろい，か弱い,exam,3,pre1,pre1,形容詞,pre1:2003,1,pre1_or_1_deferred
framework,framework,word,骨格,骨格,exam,3,pre1,pre1,名詞,pre1:1298,1,pre1_or_1_deferred
frank,frank,word,率直な，隠さない,率直な，隠さない,exam,3,pre1,pre1,形容詞,pre1:124,1,pre1_or_1_deferred
frankly,frankly,word,率直に，直接的に,率直に，直接的に,exam,3,pre1,pre1;1,副詞,pre1:422;1:274,2,pre1_or_1_deferred
frantic,frantic,word,半狂乱の，狂った,半狂乱の，狂った / 気が狂ったような,exam,3,pre1,pre1;1,形容詞,pre1:2272;1:3658,2,pre1_or_1_deferred
fraud,fraud,word,詐欺，ごまかし,詐欺，ごまかし,exam,3,pre1,pre1,名詞,pre1:1822,1,pre1_or_1_deferred
freight,freight,word,運賃，貨物運送,運賃，貨物運送,exam,3,pre1,pre1,名詞,pre1:1508,1,pre1_or_1_deferred
frequency,frequency,word,周波数，頻繁さ,周波数，頻繁さ,exam,3,pre1,pre1,名詞,pre1:798,1,pre1_or_1_deferred
freshman,freshman,word,新入生,新入生,exam,3,pre1,pre1,名詞,pre1:708,1,pre1_or_1_deferred
friction,friction,word,摩擦，不和,摩擦，不和,exam,3,pre1,pre1,名詞,pre1:1871,1,pre1_or_1_deferred
fright,fright,word,恐怖，驚き,恐怖，驚き,exam,3,pre1,pre1,名詞,pre1:1608,1,pre1_or_1_deferred
frightful,frightful,word,恐ろしい,恐ろしい,exam,3,pre1,pre1,形容詞,pre1:1702,1,pre1_or_1_deferred
frivolous,frivolous,word,軽薄な，いい加減な,軽薄な，いい加減な / 軽薄な,exam,3,pre1,pre1;1,形容詞,pre1:2795;1:2891,2,pre1_or_1_deferred
frugal,frugal,word,質素な，倹約な,質素な，倹約な / 質素な,exam,3,pre1,pre1;1,形容詞,pre1:2719;1:3803,2,pre1_or_1_deferred
frustrate,frustrate,word,挫折させる,挫折させる,exam,3,pre1,pre1,動詞,pre1:1206,1,pre1_or_1_deferred
frustration,frustration,word,欲求不満，落胆,欲求不満，落胆,exam,3,pre1,pre1,名詞,pre1:569,1,pre1_or_1_deferred
fulfillment,fulfillment,word,遂行,遂行,exam,3,pre1,pre1,名詞,pre1:1125,1,pre1_or_1_deferred
fumigate,fumigate,word,燻蒸する,燻蒸する,exam,3,pre1,pre1,動詞,pre1:3007,1,pre1_or_1_deferred
fungus,fungus,word,菌,菌,exam,3,pre1,pre1,名詞,pre1:2921,1,pre1_or_1_deferred
furious,furious,word,怒り狂った,怒り狂った,exam,3,pre1,pre1,形容詞,pre1:1613,1,pre1_or_1_deferred
furnace,furnace,word,かまど，暖炉,かまど，暖炉,exam,3,pre1,pre1,名詞,pre1:1646,1,pre1_or_1_deferred
furnish,furnish,word,家具を備える,家具を備える,exam,3,pre1,pre1,動詞,pre1:556,1,pre1_or_1_deferred
furnished,furnished,word,家具付きの,家具付きの,exam,3,pre1,pre1,形容詞,pre1:1889,1,pre1_or_1_deferred
fury,fury,word,激怒,激怒,exam,3,pre1,pre1,名詞,pre1:1483,1,pre1_or_1_deferred
fusion,fusion,word,融合,融合,exam,3,pre1,pre1,名詞,pre1:2494,1,pre1_or_1_deferred
