word,suggested_level,junior_meaning_ja,high_meaning_ja,source_names,source_ranks,master_status
assure,high_school,,保証する,high_word_list,2014;2354,missing
astonish,high_school,,驚かせる,high_word_list,2023;2363,missing
atlantic,high_school,,大西洋の,high_word_list,1973;2313,missing
atomic,high_school,,原子の,high_word_list,1920;2260,missing
attach,high_school,,貼り付ける,high_word_list,1109;1612,missing
attempt,high_school,,試み,high_word_list,326,missing
attorney,high_school,,弁護士,high_word_list,141,missing
attractive,high_school,,魅力的な,high_word_list,1026;1529,missing
attribute,high_school,,に帰する,high_word_list,1081;1584,missing
authority,high_school,,権威,high_word_list,518,missing
automobile,high_school,,自動車,high_word_list,769;1272,missing
available,high_school,,利用できる,high_word_list,118,missing
award,high_school,,賞,high_word_list,281,missing
aware,high_school,,気づいている,high_word_list,406,missing
awareness,high_school,,気づき,high_word_list,903;1406,missing
awful,high_school,,ひどい,high_word_list,1943;2283,missing
background,high_school,,背景,high_word_list,519,missing
bang,high_school,,ドンドン叩く,high_word_list,2061;2401,missing
bare,high_school,,裸の,high_word_list,698,missing
barely,high_school,,かろうじて,high_word_list,2050;2390,missing
basis,high_school,,土台,high_word_list,196,missing
beg,high_school,,懇願する,high_word_list,2019;2359,missing
behalf,high_school,,代わって,high_word_list,1974;2314,missing
behave,high_school,,振る舞う,high_word_list,957;1460,missing
belief,high_school,,信念,high_word_list,273,missing
bend,high_school,,曲げる,high_word_list,1925;2265,missing
bet,high_school,,賭ける,high_word_list,81,missing
bind,high_school,,縛りつける,high_word_list,1111;1614,missing
biological,high_school,,生物学上の,high_word_list,1130;1633,missing
bishop,high_school,,司教,high_word_list,701,missing
bitter,high_school,,苦い,high_word_list,717,missing
blast,high_school,,爆風,high_word_list,1750;2090,missing
blink,high_school,,瞬きをする,high_word_list,2047;2387,missing
block,high_school,,妨げる,high_word_list,794;1297,missing
bloody,high_school,,血の,high_word_list,37,missing
bond,high_school,,拘束,high_word_list,354,missing
boundary,high_school,,境界,high_word_list,727;1230,missing
bow,high_school,,お辞儀する,high_word_list,2051;2391,missing
breast,high_school,,胸部,high_word_list,40,missing
breath,high_school,,息,high_word_list,236,missing
breathe,high_school,,呼吸をする,high_word_list,1112;1615,missing
brick,high_school,,れんが,high_word_list,913;1416,missing
brief,high_school,,短い,high_word_list,651,missing
briefly,high_school,,簡単に,high_word_list,935;1438,missing
broad,high_school,,広い,high_word_list,34,missing
broadcast,high_school,,放送する,high_word_list,1961;2301,missing
bullet,high_school,,弾丸,high_word_list,726;1229,missing
burst,high_school,,破裂する,high_word_list,1967;2307,missing
bury,high_school,,埋める,high_word_list,1869;2209,missing
buyer,high_school,,買い手,high_word_list,887;1390,missing
calculate,high_school,,計算する,high_word_list,1088;1591,missing
candidate,high_school,,候補者,high_word_list,1915;2255,missing
capable,high_school,,可能性がある,high_word_list,1176;1679,missing
carbon,high_school,,炭素,high_word_list,222,missing
cash,high_school,,現金,high_word_list,1813;2153,missing
cast,high_school,,投げる,high_word_list,79,missing
cave,high_school,,ほら穴,high_word_list,1942;2282,missing
cease,high_school,,やめる,high_word_list,1941;2281,missing
ceiling,high_school,,天井,high_word_list,754;1257,missing
chairman,high_school,,会長,high_word_list,439,missing
chamber,high_school,,小部屋,high_word_list,894;1397,missing
chapter,high_school,,章,high_word_list,285,missing
characteristic,high_school,,特徴,high_word_list,521,missing
charm,high_school,,魅力,high_word_list,1735;2075,missing
chest,high_school,,たんす,high_word_list,482,missing
circuit,high_school,,回路,high_word_list,1831;2171,missing
circumstance,high_school,,状況,high_word_list,523,missing
civil,high_school,,市民の,high_word_list,1948;2288,missing
civilian,high_school,,民間人,high_word_list,897;1400,missing
civilization,high_school,,文明,high_word_list,143,missing
civilized,high_school,,発達した文明をもつ,high_word_list,1222;1725,missing
classical,high_school,,古典の,high_word_list,1918;2258,missing
client,high_school,,顧客,high_word_list,363,missing
cling,high_school,,くっつく,high_word_list,2020;2360,missing
clip,high_school,,切る,high_word_list,1773;2113,missing
closely,high_school,,綿密に,high_word_list,867;1370,missing
clothing,high_school,,衣料品,high_word_list,940;1443,missing
clue,high_school,,手がかり,high_word_list,1070;1573,missing
coalition,high_school,,連立,high_word_list,700,missing
coast,high_school,,海岸,high_word_list,434,missing
colleague,high_school,,同僚,high_word_list,1757;2097,missing
combat,high_school,,戦闘,high_word_list,719,missing
combine,high_school,,結合させる,high_word_list,1113;1616,missing
comfort,high_school,,快適さ,high_word_list,922;1425,missing
commander,high_school,,司令官,high_word_list,906;1409,missing
commercial,high_school,,商業の,high_word_list,85,missing
commission,high_school,,手数料,high_word_list,305,missing
commissioner,high_school,,委員,high_word_list,1840;2180,missing
commit,high_school,,罪を犯す,high_word_list,1992;2332,missing
commitment,high_school,,約束,high_word_list,468,missing
committee,high_school,,委員会,high_word_list,1940;2280,missing
communist,high_school,,共産主義者,high_word_list,2041;2381,missing
companion,high_school,,仲間,high_word_list,1727;2067,missing
comparison,high_school,,比較,high_word_list,1746;2086,missing
compete,high_school,,競争する,high_word_list,958;1461,missing
competition,high_school,,競争,high_word_list,396,missing
competitive,high_school,,競争力のある,high_word_list,1199;1702,missing
complex,high_school,,複雑な,high_word_list,151,missing
complexity,high_school,,複雑さ,high_word_list,1877;2217,missing
complicated,high_school,,複雑な,high_word_list,817;1320,missing
component,high_school,,成分,high_word_list,23,missing
compose,high_school,,構成する,high_word_list,959;1462,missing
composition,high_school,,構成,high_word_list,1809;2149,missing
compound,high_school,,調合する,high_word_list,1100;1603,missing
comprehensive,high_school,,包括的な,high_word_list,1091;1594,missing
compromise,high_school,,妥協,high_word_list,695,missing
concentrate,high_school,,集中する,high_word_list,960;1463,missing
concentration,high_school,,集中,high_word_list,9,missing
concept,high_school,,概念,high_word_list,432,missing
conclude,high_school,,締めくくる,high_word_list,1115;1618,missing
conclusion,high_school,,結論,high_word_list,526,missing
concrete,high_school,,具体的な,high_word_list,1094;1597,missing
confidence,high_school,,自信,high_word_list,530,missing
confident,high_school,,自信のある,high_word_list,1165;1668,missing
confine,high_school,,制限する,high_word_list,2017;2357,missing
confirm,high_school,,確認する,high_word_list,2006;2346,missing
conflict,high_school,,対立,high_word_list,531,missing
confront,high_school,,直面させる,high_word_list,2033;2373,missing
confuse,high_school,,混乱させる,high_word_list,1116;1619,missing
confusion,high_school,,混乱,high_word_list,1804;2144,missing
congress,high_school,,会議,high_word_list,440,missing
conscious,high_school,,意識して,high_word_list,1028;1531,missing
consequence,high_school,,結果,high_word_list,532,missing
consequently,high_school,,その結果,high_word_list,2016;2356,missing
conservation,high_school,,保全,high_word_list,1738;2078,missing
considerable,high_school,,かなりの,high_word_list,962;1465,missing
consideration,high_school,,考慮,high_word_list,32,missing
consist,high_school,,成り立つ,high_word_list,963;1466,missing
consistent,high_school,,一貫した,high_word_list,1077;1580,missing
constant,high_school,,絶え間ない,high_word_list,1132;1635,missing
constantly,high_school,,常に,high_word_list,658,missing
constitute,high_school,,構成する,high_word_list,1995;2335,missing
constitution,high_school,,憲法,high_word_list,1815;2155,missing
construct,high_school,,組み立てる,high_word_list,1117;1620,missing
construction,high_school,,建設,high_word_list,1816;2156,missing
contemporary,high_school,,現在の,high_word_list,818;1321,missing
context,high_school,,文脈,high_word_list,144,missing
continent,high_school,,大陸,high_word_list,534,missing
contract,high_school,,契約,high_word_list,1818;2158,missing
contrary,high_school,,反対の,high_word_list,819;1322,missing
contribute,high_school,,寄付する,high_word_list,964;1467,missing
contribution,high_school,,寄付,high_word_list,536,missing
controversial,high_school,,議論のある,high_word_list,1166;1669,missing
conventional,high_school,,従来の,high_word_list,891;1394,missing
conversation,high_school,,会話,high_word_list,537,missing
convert,high_school,,変える,high_word_list,1875;2215,missing
convey,high_school,,伝える,high_word_list,797;1300,missing
conviction,high_school,,信念,high_word_list,707,missing
convince,high_school,,納得させる,high_word_list,1118;1621,missing
cooperation,high_school,,協力,high_word_list,538,missing
cop,high_school,,警官,high_word_list,696,missing
cope,high_school,,対処する,high_word_list,965;1468,missing
correspondent,high_school,,特派員,high_word_list,880;1383,missing
corridor,high_school,,廊下,high_word_list,708,missing
council,high_school,,議会,high_word_list,401,missing
counter,high_school,,相対する,high_word_list,1071;1574,missing
county,high_school,,州,high_word_list,297,missing
court,high_school,,裁判所,high_word_list,342,missing
crack,high_school,,裂け目,high_word_list,64,missing
craft,high_school,,工芸,high_word_list,745;1248,missing
creation,high_school,,創造,high_word_list,539,missing
creature,high_school,,生き物,high_word_list,886;1389,missing
credit,high_school,,信用,high_word_list,272,missing
crew,high_school,,乗組員,high_word_list,1903;2243,missing
crime,high_school,,犯罪,high_word_list,540,missing
criminal,high_school,,犯罪の,high_word_list,71,missing
crisis,high_school,,危機,high_word_list,541,missing
critic,high_school,,批評家,high_word_list,1880;2220,missing
critical,high_school,,極めて重要な,high_word_list,1177;1680,missing
criticism,high_school,,批判,high_word_list,542,missing
criticize,high_school,,批判する,high_word_list,966;1469,missing
crop,high_school,,収穫物,high_word_list,770;1273,missing
crown,high_school,,王冠,high_word_list,1835;2175,missing
crucial,high_school,,重要な,high_word_list,923;1426,missing
cruise,high_school,,巡航する,high_word_list,1985;2325,missing
cultivate,high_school,,耕作する,high_word_list,1994;2334,missing
cure,high_school,,治療する,high_word_list,1990;2330,missing
curiosity,high_school,,好奇心,high_word_list,771;1274,missing
current,high_school,,現在の,high_word_list,820;1323,missing
curve,high_school,,曲線,high_word_list,697,missing
dare,high_school,,思い切ってする,high_word_list,2065;2405,missing
dealer,high_school,,販売業者,high_word_list,1058;1561,missing
debt,high_school,,借金,high_word_list,545,missing
decade,high_school,,10年間,high_word_list,944;1447,missing
declare,high_school,,宣言する,high_word_list,967;1470,missing
decline,high_school,,断る,high_word_list,220,missing
defeat,high_school,,負かす,high_word_list,798;1301,missing
defendant,high_school,,被告人,high_word_list,70,missing
deficit,high_school,,赤字,high_word_list,681,missing
definite,high_school,,明確な,high_word_list,1867;2207,missing
definition,high_school,,定義,high_word_list,546,missing
delay,high_school,,遅らせる,high_word_list,1972;2312,missing
deliberately,high_school,,故意に,high_word_list,1917;2257,missing
delicate,high_school,,繊細な,high_word_list,1946;2286,missing
delight,high_school,,喜び,high_word_list,547,missing
demand,high_school,,要求,high_word_list,120,missing
democracy,high_school,,民主主義,high_word_list,945;1448,missing
democrat,high_school,,民主主義者,high_word_list,135,missing
democratic,high_school,,民主主義の,high_word_list,2028;2368,missing
demonstrate,high_school,,実証する,high_word_list,313,missing
deny,high_school,,否定する,high_word_list,969;1472,missing
dependent,high_school,,依存している,high_word_list,1179;1682,missing
depending,high_school,,依存する,high_word_list,1104;1607,missing
deposit,high_school,,お金を預ける,high_word_list,2063;2403,missing
depress,high_school,,落胆させる,high_word_list,2026;2366,missing
depression,high_school,,落ち込み,high_word_list,1080;1583,missing
depth,high_school,,深さ,high_word_list,729;1232,missing
deputy,high_school,,代理,high_word_list,676,missing
derive,high_school,,引き出す,high_word_list,970;1473,missing
description,high_school,,説明,high_word_list,1772;2112,missing
deserve,high_school,,値する,high_word_list,882;1385,missing
desirable,high_school,,望ましい,high_word_list,1960;2300,missing
desire,high_school,,願望,high_word_list,413,missing
desperate,high_school,,やけくその,high_word_list,1156;1659,missing
destruction,high_school,,破壊,high_word_list,549,missing
detail,high_school,,詳細,high_word_list,282,missing
detailed,high_school,,詳細の,high_word_list,930;1433,missing
detect,high_school,,検出する,high_word_list,1089;1592,missing
determine,high_school,,決める,high_word_list,382,missing
devise,high_school,,考え出す,high_word_list,1993;2333,missing
dialect,high_school,,方言,high_word_list,1737;2077,missing
dig,high_school,,掘る,high_word_list,38,missing
dignity,high_school,,威厳,high_word_list,1839;2179,missing
diminish,high_school,,減らす,high_word_list,1814;2154,missing
disadvantage,high_school,,不利,high_word_list,1743;2083,missing
disappoint,high_school,,がっかりさせる,high_word_list,1205;1708,missing
discipline,high_school,,しつけ,high_word_list,772;1275,missing
discovery,high_school,,発見,high_word_list,177,missing
dismiss,high_school,,退出させる,high_word_list,1163;1666,missing
disorder,high_school,,無秩序,high_word_list,892;1395,missing
display,high_school,,展示する,high_word_list,971;1474,missing
dispute,high_school,,争議,high_word_list,1769;2109,missing
distant,high_school,,遠く離れた,high_word_list,1134;1637,missing
distinct,high_school,,他と違った,high_word_list,2049;2389,missing
distinction,high_school,,区別,high_word_list,554,missing
distinguish,high_school,,区別する,high_word_list,972;1475,missing
distribution,high_school,,分布,high_word_list,5,missing
district,high_school,,地域,high_word_list,555,missing
disturb,high_school,,平穏を妨げる,high_word_list,1169;1672,missing
divide,high_school,,分割する,high_word_list,973;1476,missing
division,high_school,,分割,high_word_list,1741;2081,missing
divorce,high_school,,離婚,high_word_list,1729;2069,missing
dominate,high_school,,支配する,high_word_list,1991;2331,missing
doubt,high_school,,疑い,high_word_list,402,missing
drain,high_school,,排出させる,high_word_list,1154;1657,missing
dramatic,high_school,,劇的な,high_word_list,822;1325,missing
drift,high_school,,漂流,high_word_list,693,missing
drug,high_school,,麻薬,high_word_list,556,missing
dull,high_school,,面白みのない,high_word_list,1180;1683,missing
dump,high_school,,投げ捨てる,high_word_list,1158;1661,missing
dust,high_school,,ほこり,high_word_list,881;1384,missing
duty,high_school,,職務,high_word_list,275,missing
dwell,high_school,,住む,high_word_list,1792;2132,missing
eager,high_school,,強く望んでいる,high_word_list,1209;1712,missing
earnings,high_school,,収益,high_word_list,715,missing
ease,high_school,,容易さ,high_word_list,122,missing
echo,high_school,,こだま,high_word_list,924;1427,missing
economics,high_school,,経済学,high_word_list,1923;2263,missing
economy,high_school,,経済,high_word_list,385,missing
edge,high_school,,端,high_word_list,221,missing
editor,high_school,,編集者,high_word_list,1874;2214,missing
educate,high_school,,教育する,high_word_list,974;1477,missing
educational,high_school,,教育の,high_word_list,823;1326,missing
efficient,high_school,,効率,high_word_list,652,missing
elaborate,high_school,,手の込んだ,high_word_list,2037;2377,missing
elect,high_school,,選出する,high_word_list,1063;1566,missing
election,high_school,,選挙,high_word_list,243,missing
electric,high_school,,電気の,high_word_list,82,missing
electrical,high_school,,電気の,high_word_list,1885;2225,missing
element,high_school,,要素,high_word_list,557,missing
elementary,high_school,,初級の,high_word_list,1905;2245,missing
eliminate,high_school,,取り除く,high_word_list,1986;2326,missing
embrace,high_school,,抱きしめる,high_word_list,1153;1656,missing
emerge,high_school,,現れる,high_word_list,800;1303,missing
emotional,high_school,,感情の,high_word_list,825;1328,missing
emphasis,high_school,,強調,high_word_list,41,missing
emphasize,high_school,,強調する,high_word_list,975;1478,missing
empire,high_school,,帝国の,high_word_list,1886;2226,missing
employ,high_school,,雇う,high_word_list,642,missing
employer,high_school,,雇用者,high_word_list,364,missing
empty,high_school,,何も入っていない,high_word_list,1218;1721,missing
enable,high_school,,可能にさせる,high_word_list,1170;1673,missing
encounter,high_school,,遭遇する,high_word_list,976;1479,missing
endure,high_school,,耐える,high_word_list,1890;2230,missing
enforcement,high_school,,執行,high_word_list,712,missing
engaged,high_school,,従事している,high_word_list,1181;1684,missing
enhance,high_school,,強調する,high_word_list,1083;1586,missing
enormous,high_school,,非常に大きい,high_word_list,1182;1685,missing
ensure,high_school,,確実にする,high_word_list,2045;2385,missing
enterprise,high_school,,会社,high_word_list,1832;2172,missing
entertain,high_school,,楽しませる,high_word_list,1119;1622,missing
entertainment,high_school,,娯楽,high_word_list,558,missing
enthusiasm,high_school,,情熱,high_word_list,1784;2124,missing
entire,high_school,,全体の,high_word_list,826;1329,missing
entirely,high_school,,完全に,high_word_list,868;1371,missing
entitle,high_school,,題する,high_word_list,889;1392,missing
environmental,high_school,,環境の,high_word_list,97,missing
equivalent,high_school,,等しい,high_word_list,1883;2223,missing
escape,high_school,,逃れる,high_word_list,77,missing
essay,high_school,,論文,high_word_list,753;1256,missing
essentially,high_school,,本質的に,high_word_list,1959;2299,missing
establishment,high_school,,設立,high_word_list,747;1250,missing
estate,high_school,,財産,high_word_list,339,missing
estimate,high_school,,推定する,high_word_list,977;978;1480;1481,missing
etc,high_school,,等々,high_word_list,699,missing
ethnic,high_school,,民族の,high_word_list,67,missing
evidence,high_school,,証拠,high_word_list,283,missing
evident,high_school,,明らかな,high_word_list,1957;2297,missing
evil,high_school,,邪悪な,high_word_list,827;1330,missing
evolution,high_school,,進化,high_word_list,559,missing
evolve,high_school,,進化する,high_word_list,1983;2323,missing
exact,high_school,,正確な,high_word_list,1898;2238,missing
examination,high_school,,試験,high_word_list,325,missing
excess,high_school,,過剰,high_word_list,1851;2191,missing
excessive,high_school,,過度の,high_word_list,1936;2276,missing
exclude,high_school,,除く,high_word_list,739;1242,missing
executive,high_school,,幹部，重役,high_word_list,1828;2168,missing
exhaust,high_school,,疲れ果てさせる,high_word_list,2064;2404,missing
exhibit,high_school,,展示する,high_word_list,1966;2306,missing
existence,high_school,,存在,high_word_list,21,missing
existing,high_school,,既存の,high_word_list,96,missing
expand,high_school,,拡大する,high_word_list,980;1483,missing
expansion,high_school,,拡張,high_word_list,752;1255,missing
expectation,high_school,,期待,high_word_list,42,missing
expense,high_school,,費用,high_word_list,1745;2085,missing
explore,high_school,,探索,high_word_list,643,missing
explosion,high_school,,爆発,high_word_list,1751;2091,missing
export,high_school,,輸出する,high_word_list,981;1484,missing
expose,high_school,,明らかにする,high_word_list,1171;1674,missing
exposure,high_school,,暴露,high_word_list,680,missing
expression,high_school,,表現,high_word_list,162,missing
extension,high_school,,拡張,high_word_list,748;1251,missing
extensive,high_school,,広範な,high_word_list,939;1442,missing
extent,high_school,,程度,high_word_list,561,missing
extra,high_school,,余分の,high_word_list,828;1331,missing
extraordinary,high_school,,普通でない,high_word_list,1135;1638,missing
extreme,high_school,,極端な,high_word_list,829;1332,missing
extremely,high_school,,極端に,high_word_list,392,missing
fabric,high_school,,織物,high_word_list,688,missing
failure,high_school,,失敗,high_word_list,317,missing
fair,high_school,,公平な,high_word_list,830;1333,missing
fairly,high_school,,かなり,high_word_list,869;1372,missing
faith,high_school,,信頼,high_word_list,562,missing
false,high_school,,誤った,high_word_list,831;1334,missing
fancy,high_school,,空想,high_word_list,1819;2159,missing
fascinate,high_school,,魅了する,high_word_list,1958;2298,missing
fate,high_school,,運命,high_word_list,563,missing
fault,high_school,,欠点,high_word_list,564,missing
favor,high_school,,親切な行為,high_word_list,1105;1608,missing
federal,high_school,,連邦の,high_word_list,63,missing
fee,high_school,,料金,high_word_list,2,missing
fellow,high_school,,仲間,high_word_list,210,missing
female,high_school,,雌の，女性の,high_word_list,653,missing
fiber,high_school,,繊維,high_word_list,703,missing
finance,high_school,,財政,high_word_list,338,missing
financial,high_school,,財政の,high_word_list,833;1336,missing
firm,high_school,,しっかりした,high_word_list,1183;1686,missing
firmly,high_school,,堅く,high_word_list,1817;2157,missing
flavor,high_school,,風味,high_word_list,761;1264,missing
flee,high_school,,逃げる,high_word_list,908;1411,missing
flood,high_school,,洪水,high_word_list,352,missing
flow,high_school,,流れる,high_word_list,65,missing
folk,high_school,,人々,high_word_list,260,missing
force,high_school,,力,high_word_list,115,missing
formal,high_school,,形式の,high_word_list,386,missing
former,high_school,,前の,high_word_list,654,missing
foundation,high_school,,基礎,high_word_list,1761;2101,missing
founder,high_school,,創設者,high_word_list,918;1421,missing
freeze,high_school,,凍る,high_word_list,14,missing
frequent,high_school,,頻繁な,high_word_list,1878;2218,missing
frequently,high_school,,頻繁に,high_word_list,156,missing
frighten,high_school,,怖がらせる,high_word_list,1120;1172;1623;1675,missing
fuel,high_school,,燃料,high_word_list,566,missing
fully,high_school,,十分に,high_word_list,871;1374,missing
fund,high_school,,資金,high_word_list,1801;2141,missing
fundamental,high_school,,基本的な,high_word_list,1032;1535,missing
funding,high_school,,資金調達,high_word_list,324,missing
funeral,high_school,,葬式,high_word_list,1768;2108,missing
fur,high_school,,毛皮,high_word_list,1733;2073,missing
furniture,high_school,,家具,high_word_list,1833;2173,missing
gay,high_school,,同性愛の,high_word_list,1062;1565,missing
gaze,high_school,,凝視する,high_word_list,2021;2361,missing
gear,high_school,,伝動装置,high_word_list,1056;1559,missing
gene,high_school,,遺伝子,high_word_list,1939;2279,missing
generate,high_school,,発生させる,high_word_list,2032;2372,missing
generous,high_school,,気前のよい,high_word_list,2042;2382,missing
genius,high_school,,天才,high_word_list,567,missing
genuine,high_school,,本物の,high_word_list,1870;2210,missing
girlfriend,high_school,,女友達,high_word_list,919;1422,missing
glance,high_school,,一目見る,high_word_list,456,missing
globe,high_school,,地球,high_word_list,1767;2107,missing
govern,high_school,,統治する,high_word_list,983;1486,missing
governor,high_school,,知事,high_word_list,216,missing
gradually,high_school,,次第に,high_word_list,872;1375,missing
grammar,high_school,,文法,high_word_list,569,missing
grant,high_school,,給付金,high_word_list,776;1279,missing
grasp,high_school,,つかむ,high_word_list,1945;2285,missing
grave,high_school,,墓,high_word_list,1854;2194,missing
greet,high_school,,あいさつをする,high_word_list,1207;1710,missing
guarantee,high_school,,保証する,high_word_list,1962;2302,missing
guilty,high_school,,有罪の,high_word_list,1866;2206,missing
harmful,high_school,,有害な,high_word_list,835;1338,missing
harmony,high_school,,調和,high_word_list,1765;2105,missing
harvest,high_school,,収穫,high_word_list,1794;2134,missing
headline,high_school,,見出し,high_word_list,376,missing
headquarters,high_school,,本部,high_word_list,711,missing
heel,high_school,,かかと,high_word_list,907;1410,missing
height,high_school,,高さ,high_word_list,570,missing
hell,high_school,,地獄,high_word_list,214,missing
hesitate,high_school,,ためらう,high_word_list,986;1489,missing
hide,high_school,,隠す,high_word_list,58,missing
highlight,high_school,,目立たせる,high_word_list,1159;1662,missing
hire,high_school,,雇う,high_word_list,644,missing
historian,high_school,,歴史家,high_word_list,900;1403,missing
historic,high_school,,由緒のある,high_word_list,1155;1658,missing
historical,high_school,,歴史（上）の,high_word_list,1184;1687,missing
honor,high_school,,名誉,high_word_list,1734;2074,missing
household,high_school,,家族,high_word_list,571,missing
huge,high_school,,巨大な,high_word_list,94,missing
humanity,high_school,,人間,high_word_list,572,missing
hunger,high_school,,飢え,high_word_list,1825;2165,missing
ideal,high_school,,理想,high_word_list,573,missing
identical,high_school,,同一の,high_word_list,1976;2316,missing
identify,high_school,,見分ける,high_word_list,987;1490,missing
identity,high_school,,同一性,high_word_list,186,missing
ignore,high_school,,無視する,high_word_list,988;1491,missing
illness,high_school,,病気,high_word_list,732;1235,missing
imagination,high_school,,想像,high_word_list,574,missing
imitate,high_school,,模倣する,high_word_list,1956;2296,missing
immediate,high_school,,即座の,high_word_list,837;1340,missing
immigrant,high_school,,移民,high_word_list,575,missing
immigration,high_school,,移住,high_word_list,1838;2178,missing
impact,high_school,,影響,high_word_list,576,missing
implement,high_school,,実施する,high_word_list,1074;1577,missing
implication,high_school,,含み,high_word_list,43,missing
imply,high_school,,ほのめかす,high_word_list,1122;1625,missing
impose,high_school,,課する,high_word_list,1951;2291,missing
impress,high_school,,感銘を与える,high_word_list,1173;1676,missing
impression,high_school,,印象,high_word_list,577,missing
impressive,high_school,,印象的な,high_word_list,455,missing
improvement,high_school,,改善,high_word_list,436,missing
impulse,high_school,,衝動,high_word_list,1786;2126,missing
incident,high_school,,事件,high_word_list,1800;2140,missing
inclined,high_school,,傾いた,high_word_list,1950;2290,missing
income,high_school,,所得,high_word_list,578,missing
incorporate,high_school,,合体させる,high_word_list,1164;1667,missing
increasingly,high_school,,ますます,high_word_list,2013;2353,missing
independent,high_school,,独立した,high_word_list,1034;1537,missing
index,high_school,,索引,high_word_list,31,missing
industrial,high_school,,産業の,high_word_list,335,missing
industrialize,high_school,,産業化する,high_word_list,2040;2380,missing
industry,high_school,,産業,high_word_list,336,missing
inevitable,high_school,,避けられない,high_word_list,2054;2394,missing
infant,high_school,,幼児,high_word_list,1730;2070,missing
infection,high_school,,感染,high_word_list,682,missing
inferior,high_school,,劣った,high_word_list,1862;2202,missing
inflation,high_school,,膨張,high_word_list,691,missing
inform,high_school,,知らせる,high_word_list,990;1493,missing
ingredient,high_school,,材料,high_word_list,341,missing
inhabitant,high_school,,居住者,high_word_list,1928;2268,missing
initial,high_school,,当初の,high_word_list,1884;2224,missing
initially,high_school,,最初に,high_word_list,933;1436,missing
initiative,high_school,,主導権,high_word_list,309,missing
injury,high_school,,怪我,high_word_list,1850;2190,missing
innocent,high_school,,罪のない,high_word_list,1095;1598,missing
inquiry,high_school,,問い合わせ,high_word_list,1161;1664,missing
insect,high_school,,昆虫,high_word_list,1805;2145,missing
insight,high_school,,洞察,high_word_list,1756;2096,missing
inspector,high_school,,検査官,high_word_list,899;1402,missing
inspire,high_school,,鼓舞する,high_word_list,2001;2341,missing
install,high_school,,導入する,high_word_list,1065;1568,missing
instant,high_school,,瞬時,high_word_list,1790;2130,missing
instinct,high_school,,本能,high_word_list,1736;2076,missing
institute,high_school,,制定する,high_word_list,1922;2262,missing
institution,high_school,,制度,high_word_list,1776;2116,missing
insurance,high_school,,保険,high_word_list,1739;2079,missing
intellectual,high_school,,知的な,high_word_list,838;1341,missing
intelligence,high_school,,知能,high_word_list,581,missing
intelligent,high_school,,知能の高い,high_word_list,1137;1640,missing
intend,high_school,,意図する,high_word_list,991;1494,missing
intense,high_school,,激しい,high_word_list,89,missing
intention,high_school,,意図,high_word_list,59,missing
interfere,high_school,,干渉する,high_word_list,2005;2345,missing
interior,high_school,,内部の,high_word_list,75,missing
internal,high_school,,内部の,high_word_list,839;1342,missing
interpret,high_school,,解釈する,high_word_list,992;1495,missing
interpretation,high_school,,解釈,high_word_list,51,missing
interrupt,high_school,,邪魔をする,high_word_list,2039;2379,missing
intervention,high_school,,介在,high_word_list,53,missing
intimate,high_school,,親密な,high_word_list,1901;2241,missing
invest,high_school,,投資する,high_word_list,195,missing
investigate,high_school,,調査する,high_word_list,1970;2310,missing
investigation,high_school,,調査,high_word_list,207,missing
investigator,high_school,,捜査官,high_word_list,912;1415,missing
investment,high_school,,投資,high_word_list,1760;2100,missing
investor,high_school,,投資家,high_word_list,194,missing
invisible,high_school,,見えない,high_word_list,2002;2342,missing
involvement,high_school,,関与,high_word_list,673,missing
isolate,high_school,,孤立させる,high_word_list,1123;1626,missing
jail,high_school,,刑務所,high_word_list,879;1382,missing
jewish,high_school,,ユダヤ人,high_word_list,467,missing
joint,high_school,,継目,high_word_list,384,missing
journal,high_school,,日誌,high_word_list,181,missing
judgement,high_school,,判断,high_word_list,584,missing
jury,high_school,,陪審員,high_word_list,72,missing
killer,high_school,,殺人者,high_word_list,902;1405,missing
lab,high_school,,研究室,high_word_list,909;1412,missing
labor,high_school,,労働,high_word_list,111,missing
laboratory,high_school,,実験室,high_word_list,778;1281,missing
landscape,high_school,,風景,high_word_list,585,missing
lap,high_school,,ひざ,high_word_list,714,missing
largely,high_school,,主として,high_word_list,1047;1550,missing
latter,high_school,,後者の,high_word_list,840;1343,missing
lawn,high_school,,芝生,high_word_list,725;1228,missing
lean,high_school,,傾く,high_word_list,108,missing
leap,high_school,,飛び跳ねる，飛び回る,high_word_list,1059;1562;1764;2104,missing
lecture,high_school,,講義,high_word_list,755;1258,missing
legal,high_school,,法律の,high_word_list,1872;2212,missing
legislation,high_school,,立法,high_word_list,4,missing
length,high_school,,長さ,high_word_list,206,missing
liberty,high_school,,自由,high_word_list,1798;2138,missing
liquid,high_school,,液体の,high_word_list,1937;2277,missing
literally,high_school,,文字通りに,high_word_list,2030;2370,missing
literary,high_school,,文学の,high_word_list,841;1344,missing
literature,high_school,,文学,high_word_list,145,missing
load,high_school,,積む,high_word_list,1846;2186,missing
log,high_school,,丸太,high_word_list,724;1227,missing
logic,high_school,,論理,high_word_list,1726;2066,missing
logical,high_school,,論理的な,high_word_list,1954;2294,missing
lord,high_school,,領主,high_word_list,1843;2183,missing
lover,high_school,,恋人,high_word_list,686,missing
lung,high_school,,肺,high_word_list,1856;2196,missing
