No,音,英語,日本語,☑
1197,,shrug,肩をすくめる,
1198,,surprisingly,驚いたことに,
1199,,competitive,競争力のある,
1200,,operating,作動している,
1201,,qualify,資格を与える,
1202,,manufacturing,製造している,
1203,,vulnerable,傷つきやすい,
1204,,aim,ねらいをつける,
1205,,disappoint,がっかりさせる,
1206,,discuss,ついて議論する,
1207,,greet,あいさつをする,
1208,,stare,じっと見つめる,
1209,,eager,強く望んでいる,
1210,,nevertheless,にもかかわらず,
1211,,possibly,ひょっとすると,
1212,,snap,パチンと鳴らす,
1213,,rarely,めったに～ない,
1214,,adopt,自分のものにする,
1215,,associate,結びつけて考える,
1216,,suspect,ではないかと思う,
1217,,awake,目を覚ましている,
1218,,empty,何も入っていない,
1219,,upset,気持ちが動揺した,
1220,,seldom,めったに…しない,
1221,,whenever,する時はいつでも,
1222,,civilized,発達した文明をもつ,
1223,,naked,裸の,
1224,,swear,誓う,
1225,,comedy,喜劇,
1226,,summit,頂上,
1227,,log,丸太,
1228,,lawn,芝生,
1229,,bullet,弾丸,
1230,,boundary,境界,
1231,,strongly,強く,
1232,,depth,深さ,
1233,,assistance,支援,
1234,,maximum,最大,
1235,,illness,病気,
1236,,negotiation,交渉,
1237,,advertising,広告,
1238,,mess,混乱,
1239,,preparation,準備,
1240,,trading,取引,
1241,,agenda,議題,
1242,,exclude,除く,
1243,,therapy,治療,
1244,,transition,遷移,
1245,,retirement,退職,
1246,,poverty,貧困,
1247,,recommendation,推薦,
1248,,craft,工芸,
1249,,delivery,郵送,
1250,,establishment,設立,
1251,,extension,拡張,
1252,,maintenance,持続,
1253,,salary,給与,
1254,,approval,承認,
1255,,expansion,拡張,
1256,,essay,論文,
1257,,ceiling,天井,
1258,,lecture,講義,
1259,,restriction,制限,
1260,,satisfaction,満足,
1261,,sculpture,彫刻,
1262,,promotion,昇進,
1263,,permission,許可,
1264,,flavor,風味,
1265,,personnel,人事,
1266,,battery,電池,
1267,,horror,恐怖,
1268,,storage,保存,
1269,,satellite,衛星,
1270,,agent,代理人,
1271,,alternative,代替物,
1272,,automobile,自動車,
1273,,crop,収穫物,
1274,,curiosity,好奇心,
1275,,discipline,しつけ,
1276,,employee,従業員,
1277,,excuse,言い訳,
1278,,expert,専門家,
1279,,grant,給付金,
1280,,guide,案内人,
1281,,laboratory,実験室,
1282,,manner,やり方,
1283,,philosopher,哲学者,
1284,,physics,物理学,
1285,,politician,政治家,
1286,,remark,ことば,
1287,,significance,重要性,
1288,,solution,解決策,
1289,,vehicle,乗り物,
1290,,victim,犠牲者,
1291,,vision,未来像,
1292,,witness,目撃者,
1293,,admit,認める,
1294,,alter,変える,
1295,,appeal,訴える,
1296,,arise,起こる,
1297,,block,妨げる,
1298,,borrow,借りる,
1299,,collect,集める,
1300,,convey,伝える,
1301,,defeat,負かす,
1302,,dislike,嫌がる,
1303,,emerge,現れる,
1304,,extend,延びる,
1305,,hang,つるす,
1306,,notice,気づく,
1307,,occupy,占める,
1308,,praise,ほめる,
1309,,punish,罰する,
1310,,quit,やめる,
1311,,recommend,薦める,
1312,,roll,転がる,
1313,,stretch,広がる,
1314,,threaten,脅かす,
1315,,transform,変える,
1316,,accurate,正確な,
1317,,actual,現実の,
1318,,appropriate,適当な,
1319,,chemical,化学の,
1320,,complicated,複雑な,
1321,,contemporary,現在の,
1322,,contrary,反対の,
1323,,current,現在の,
1324,,domestic,国内の,
1325,,dramatic,劇的な,
1326,,educational,教育の,
1327,,elderly,年配の,
1328,,emotional,感情の,
1329,,entire,全体の,
1330,,evil,邪悪な,
1331,,extra,余分の,
1332,,extreme,極端な,
1333,,fair,公平な,
1334,,false,誤った,
1335,,fat,太った,
1336,,financial,財政の,
1337,,global,地球の,
1338,,harmful,有害な,
1339,,honest,正直な,
1340,,immediate,即座の,
1341,,intellectual,知的な,
1342,,internal,内部の,
1343,,latter,後者の,
1344,,literary,文学の,
1345,,medium,中間の,
1346,,military,軍隊の,
1347,,nearby,近くの,
1348,,negative,否定の,
1349,,opposite,反対の,
1350,,pleasant,楽しい,
1351,,primary,最初の,
1352,,proper,適切な,
1353,,rare,まれな,
1354,,rural,田舎の,
1355,,sensitive,敏感な,
1356,,severe,厳しい,
1357,,significant,重要な,
1358,,silly,馬鹿な,
1359,,stupid,馬鹿な,
1360,,sudden,突然の,
1361,,suitable,適した,
1362,,terrible,ひどい,
1363,,tough,頑強な,
1364,,unknown,未知の,
1365,,urban,都会の,
1366,,valuable,貴重な,
1367,,wealthy,裕福な,
1368,,absolutely,絶対に,
1369,,apart,離れて,
1370,,closely,綿密に,
1371,,entirely,完全に,
1372,,fairly,かなり,
1373,,forever,永遠に,
1374,,fully,十分に,
1375,,gradually,次第に,
1376,,normally,通常は,
1377,,properly,適切に,
1378,,rapidly,素早く,
1379,,surely,確かに,
1380,,totally,完全に,
1381,,supporter,支援者,
1382,,jail,刑務所,
1383,,correspondent,特派員,
1384,,dust,ほこり,
1385,,deserve,値する,
1386,,twin,ふたご,
1387,,pure,純粋な,
1388,,mad,狂った,
1389,,creature,生き物,
1390,,buyer,買い手,
1391,,plot,話の筋,
1392,,entitle,題する,
1393,,similarly,同様に,
1394,,conventional,従来の,
1395,,disorder,無秩序,
1396,,maker,製造元,
1397,,chamber,小部屋,
1398,,rub,こする,
1399,,portrait,肖像画,
1400,,civilian,民間人,
1401,,patch,あて布,
1402,,inspector,検査官,
1403,,historian,歴史家,
1404,,pit,くぼみ,
1405,,killer,殺人者,
1406,,awareness,気づき,
1407,,observer,観察者,
1408,,suffering,苦しみ,
1409,,commander,司令官,
1410,,heel,かかと,
1411,,flee,逃げる,
1412,,lab,研究室,
1413,,newly,新たに,
1414,,prosecutor,検察官,
1415,,investigator,捜査官,
1416,,brick,れんが,
1417,,viewer,観察者,
1418,,seize,つかむ,
1419,,rebel,反逆者,
1420,,musician,音楽家,
1421,,founder,創設者,
1422,,girlfriend,女友達,
1423,,spill,こぼす,
1424,,toe,つま先,
1425,,comfort,快適さ,
1426,,crucial,重要な,
1427,,echo,こだま,
1428,,minimum,最小の,
1429,,aircraft,航空機,
1430,,moreover,さらに,
1431,,publication,出版物,
1432,,reverse,反対の,
1433,,detailed,詳細の,
1434,,illegal,違法の,
1435,,assist,手伝う,
1436,,initially,最初に,
1437,,mere,単なる,
1438,,briefly,簡単に,
1439,,parking,駐車場,
1440,,prompt,即座の,
1441,,rapid,急速な,
1442,,extensive,広範な,
1443,,clothing,衣料品,
1444,,trigger,引き金,
1445,,operator,操作者,
1446,,anniversary,～周年,
1447,,decade,10年間,
1448,,democracy,民主主義,
1449,,occasion,特定の時,
1450,,plenty,たくさん,
1451,,proverb,ことわざ,
1452,,psychologist,心理学者,
1453,,sight,見ること,
1454,,virus,ウイルス,
1455,,abandon,捨て去る,
1456,,absorb,吸収する,
1457,,accompany,付き添う,
1458,,admire,賞賛する,
1459,,attend,出席する,
1460,,behave,振る舞う,
1461,,compete,競争する,
1462,,compose,構成する,
1463,,concentrate,集中する,
1464,,connect,つなげる,
1465,,considerable,かなりの,
1466,,consist,成り立つ,
1467,,contribute,寄付する,
1468,,cope,対処する,
1469,,criticize,批判する,
1470,,declare,宣言する,
1471,,decrease,減少する,
1472,,deny,否定する,
1473,,derive,引き出す,
1474,,display,展示する,
1475,,distinguish,区別する,
1476,,divide,分割する,
1477,,educate,教育する,
1478,,emphasize,強調する,
1479,,encounter,遭遇する,
1480,,estimate,推定する,
1481,,estimate,見積もる,
1482,,examine,検査する,
1483,,expand,拡大する,
1484,,export,輸出する,
1485,,fix,固定する,
1486,,govern,統治する,
1487,,graduate,卒業する,
1488,,handle,手で扱う,
1489,,hesitate,ためらう,
1490,,identify,見分ける,
1491,,ignore,無視する,
1492,,import,輸入する,
1493,,inform,知らせる,
1494,,intend,意図する,
1495,,interpret,解釈する,
1496,,judge,判断する,
1497,,oppose,反対する,
1498,,organize,組織する,
1499,,overcome,克服する,
1500,,participate,参加する,
1501,,perceive,知覚する,
1502,,permit,許可する,
1503,,persuade,説得する,
1504,,possess,所有する,
1505,,predict,予想する,
1506,,promote,促進する,
1507,,propose,提案する,
1508,,purchase,購入する,
1509,,react,反応する,
1510,,recover,回復する,
1511,,reject,拒絶する,
1512,,release,解き放つ,
1513,,remove,取り除く,
1514,,repair,修理する,
1515,,respond,反応する,
1516,,retire,退職する,
1517,,rush,突進する,
1518,,select,選び出す,
1519,,stimulate,刺激する,
1520,,suit,適合する,
1521,,surround,取り囲む,
1522,,tear,引き裂く,
1523,,translate,翻訳する,
1524,,transport,輸送する,
1525,,vote,投票する,
1526,,warn,警告する,
1527,,alike,よく似た,
1528,,anxious,心配して,
1529,,attractive,魅力的な,
1530,,bored,退屈した,
1531,,conscious,意識して,
1532,,creative,創造的な,
1533,,effective,効果的な,
1534,,friendly,友好的な,
1535,,fundamental,基本的な,
1536,,gentle,穏やかな,
1537,,independent,独立した,
1538,,mysterious,不可解な,
1539,,narrow,幅が狭い,
1540,,patient,我慢強い,
1541,,potential,潜在的な,
1542,,primitive,原始的な,
1543,,remarkable,目立った,
1544,,slight,かすかな,
1545,,smart,頭の良い,
1546,,specific,具体的な,
1547,,technical,技術上の,
1548,,typical,典型的な,
1549,,universal,普遍的な,
1550,,largely,主として,
1551,,necessarily,必然的に,
1552,,obviously,明らかに,
1553,,slightly,わずかに,
1554,,somehow,どうにか,
1555,,somewhat,いくぶん,
1556,,virtually,実質的に,
1557,,widely,広範囲に,
1558,,wherever,どこでも,
1559,,gear,伝動装置,
1560,,partly,部分的に,
1561,,dealer,販売業者,
1562,,leap,飛び跳ねる，飛び回る,
1563,,appoint,任命する,
1564,,childhood,子供時代,
1565,,gay,同性愛の,
1566,,elect,選出する,
1567,,ally,同盟する,
1568,,install,導入する,
1569,,armed,武装した,
1570,,negotiate,交渉する,
1571,,nowhere,どこにも,
1572,,pregnant,妊娠した,
1573,,clue,手がかり,
1574,,counter,相対する,
1575,,yield,産出する,
1576,,radical,急進的な,
1577,,implement,実施する,
1578,,stable,安定した,
1579,,advocate,提唱する,
1580,,consistent,一貫した,
1581,,via,～経由で,
1582,,withdraw,撤回する,
1583,,depression,落ち込み,
1584,,attribute,に帰する,
1585,,typically,典型的に,
1586,,enhance,強調する,
1587,,mystery,神秘的な,
1588,,restore,修復する,
1589,,airline,航空会社,
1590,,shortly,まもなく,
1591,,calculate,計算する,
1592,,detect,検出する,
1593,,regarding,に関して,
1594,,comprehensive,包括的な,
1595,,personally,個人的に,
1596,,so-called,いわゆる,
1597,,concrete,具体的な,
1598,,innocent,罪のない,
1599,,proposed,提案した,
1600,,potentially,潜在的な,
1601,,worried,心配した,
1602,,temporary,一時的な,
1603,,compound,調合する,
1604,,submit,提出する,
1605,,wildlife,野生動物,
1606,,sustain,保持する,
1607,,depending,依存する,
1608,,favor,親切な行為,
1609,,thought,考えること,
1610,,accomplish,成し遂げる,
1611,,afford,余裕がある,
1612,,attach,貼り付ける,
1613,,attract,引きつける,
1614,,bind,縛りつける,
1615,,breathe,呼吸をする,
1616,,combine,結合させる,
1617,,complain,不満を言う,
1618,,conclude,締めくくる,
1619,,confuse,混乱させる,
1620,,construct,組み立てる,
1621,,convince,納得させる,
1622,,entertain,楽しませる,
1623,,frighten,怖がらせる,
1624,,hate,ひどく嫌う,
1625,,imply,ほのめかす,
1626,,isolate,孤立させる,
1627,,obtain,手に入れる,
1628,,pretend,ふりをする,
1629,,pursue,追い求める,
1630,,reserve,取っておく,
1631,,settle,決着させる,
1632,,asleep,眠っている,
1633,,biological,生物学上の,
1634,,comfortable,心地の良い,
1635,,constant,絶え間ない,
1636,,convenient,都合がよい,
1637,,distant,遠く離れた,
1638,,extraordinary,普通でない,
1639,,favorite,一番好きな,
1640,,intelligent,知能の高い,
1641,,polite,礼儀正しい,
1642,,positive,自信のある,
1643,,reasonable,理性のある,
1644,,responsible,責任がある,
1645,,superior,より優れた,
1646,,tiny,ごく小さい,
1647,,unusual,めずらしい,
1648,,visible,目に見える,
1649,,welcome,歓迎される,
1650,,willing,いとわない,
1651,,alive,生きている,
1652,,unlike,とは違って,
1653,,tap,軽くたたく,
1654,,protein,タンパク質,
1655,,venture,冒険的事業,
1656,,embrace,抱きしめる,
1657,,drain,排出させる,
1658,,historic,由緒のある,
1659,,desperate,やけくその,
1660,,Mexican,メキシコの,
1661,,dump,投げ捨てる,
1662,,highlight,目立たせる,
1663,,given,与えられた,
1664,,inquiry,問い合わせ,
1665,,testing,試している,
1666,,dismiss,退出させる,
1667,,incorporate,合体させる,
1668,,confident,自信のある,
1669,,controversial,議論のある,
1670,,sophisticated,洗練された,
1671,,annoy,いらだたせる,
1672,,disturb,平穏を妨げる,
1673,,enable,可能にさせる,
1674,,expose,明らかにする,
1675,,frighten,おびえさせる,
1676,,impress,感銘を与える,
1677,,remind,思い出させる,
1678,,replace,取って代わる,
1679,,capable,可能性がある,
1680,,critical,極めて重要な,
1681,,curious,好奇心が強い,
1682,,dependent,依存している,
1683,,dull,面白みのない,
1684,,engaged,従事している,
1685,,enormous,非常に大きい,
1686,,firm,しっかりした,
1687,,historical,歴史（上）の,
1688,,nervous,あがっている,
1689,,proud,自慢に思って,
1690,,rough,ごつごつした,
1691,,unique,他に類のない,
1692,,useless,役に立たない,
1693,,vital,極めて重要な,
1694,,well-known,よく知られた,
1695,,directly,直接（的）に,
1696,,unfortunately,残念なことに,
1697,,despite,もかかわらず,
1698,,sigh,ため息をつく,
1699,,muslim,イスラム教徒,
1700,,shrug,肩をすくめる,
1701,,surprisingly,驚いたことに,
1702,,competitive,競争力のある,
1703,,operating,作動している,
1704,,qualify,資格を与える,
1705,,manufacturing,製造している,
1706,,vulnerable,傷つきやすい,
1707,,aim,ねらいをつける,
1708,,disappoint,がっかりさせる,
1709,,discuss,ついて議論する,
1710,,greet,あいさつをする,
1711,,stare,じっと見つめる,
1712,,eager,強く望んでいる,
1713,,nevertheless,にもかかわらず,
1714,,possibly,ひょっとすると,
1715,,snap,パチンと鳴らす,
1716,,rarely,めったに～ない,
1717,,adopt,自分のものにする,
1718,,associate,結びつけて考える,
1719,,suspect,ではないかと思う,
1720,,awake,目を覚ましている,
1721,,empty,何も入っていない,
1722,,upset,気持ちが動揺した,
1723,,seldom,めったに…しない,
1724,,whenever,する時はいつでも,
1725,,civilized,発達した文明をもつ,
1726,,logic,論理,
1727,,companion,仲間,
1728,,exception,例外,
1729,,divorce,離婚,
1730,,infant,幼児,
1731,,courage,勇気,
1732,,appointment,約束,
1733,,fur,毛皮,
1734,,honor,名誉,
1735,,charm,魅力,
1736,,instinct,本能,
1737,,dialect,方言,
1738,,conservation,保全,
1739,,insurance,保険,
1740,,odd,変な,
1741,,division,分割,
1742,,portion,部分,
1743,,disadvantage,不利,
1744,,absence,不在,
1745,,expense,費用,
1746,,comparison,比較,
1747,,tragedy,悲劇,
1748,,reflection,反映,
1749,,pronunciation,発音,
1750,,blast,爆風,
1751,,explosion,爆発,
1752,,passion,熱望,
1753,,trait,特性,
1754,,privilege,特権,
1755,,instrument,道具,
1756,,insight,洞察,
1757,,colleague,同僚,
1758,,motive,動機,
1759,,statistics,統計,
1760,,investment,投資,
1761,,foundation,基礎,
1762,,pursuit,追跡,
1763,,wage,賃金,
1764,,leap,跳ぶ,
1765,,harmony,調和,
1766,,pour,注ぐ,
1767,,globe,地球,
1768,,funeral,葬式,
1769,,dispute,争議,
1770,,sweep,掃く,
1771,,extinction,絶滅,
1772,,description,説明,
1773,,clip,切る,
1774,,pupil,生徒,
1775,,raw,生の,
1776,,institution,制度,
1777,,proceed,進む,
1778,,myth,神話,
1779,,nerve,神経,
1780,,profound,深い,
1781,,appetite,食欲,
1782,,profession,職業,
1783,,steam,蒸気,
1784,,enthusiasm,情熱,
1785,,site,場所,
1786,,impulse,衝動,
1787,,ministry,省庁,
1788,,shed,流す,
1789,,possession,所有,
1790,,instant,瞬時,
1791,,burden,重荷,
1792,,dwell,住む,
1793,,assembly,集合,
1794,,harvest,収穫,
1795,,seed,種子,
1796,,means,手段,
1797,,unemployment,失業,
1798,,liberty,自由,
1799,,era,時代,
1800,,incident,事件,
1801,,fund,資金,
1802,,facility,施設,
1803,,cell,細胞,
1804,,confusion,混乱,
1805,,insect,昆虫,
1806,,mineral,鉱物,
1807,,suburb,郊外,
1808,,voyage,航海,
1809,,composition,構成,
1810,,preference,好み,
1811,,ray,光線,
1812,,reference,参照,
1813,,cash,現金,
1814,,diminish,減らす,
1815,,constitution,憲法,
1816,,construction,建設,
1817,,firmly,堅く,
1818,,contract,契約,
1819,,fancy,空想,
1820,,tension,緊張,
1821,,parliament,議会,
1822,,obligation,義務,
1823,,sacrifice,犠牲,
1824,,ritual,儀式,
1825,,hunger,飢え,
1826,,orbit,軌道,
1827,,pray,祈る,
1828,,executive,幹部，重役,
1829,,scholar,学者,
1830,,navy,海軍,
1831,,circuit,回路,
1832,,enterprise,会社,
1833,,furniture,家具,
1834,,beneath,下に,
1835,,crown,王冠,
1836,,application,適用,
1837,,remote,遠い,
1838,,immigration,移住,
1839,,dignity,威厳,
1840,,commissioner,委員,
1841,,relief,安堵,
1842,,affection,愛情，好意,
1843,,lord,領主,
1844,,ambition,野望,
1845,,recognition,認識,
1846,,load,積む,
1847,,acquaintance,知人,
1848,,perception,知覚,
1849,,perspective,見解,
1850,,injury,怪我,
1851,,excess,過剰,
1852,,tale,お話,
1853,,treasure,宝,
1854,,grave,墓,
1855,,vice,副,
1856,,lung,肺,
1857,,virtue,徳,
1858,,tide,潮,
1859,,shame,恥,
1860,,tip,先,
1861,,shore,岸,
1862,,inferior,劣った,
1863,,similarity,類似性,
1864,,suppress,抑える,
1865,,melt,溶ける,
1866,,guilty,有罪の,
1867,,definite,明確な,
1868,,annual,毎年の,
1869,,bury,埋める,
1870,,genuine,本物の,
1871,,telescope,望遠鏡,
1872,,legal,法律の,
1873,,capture,捕える,
1874,,editor,編集者,
1875,,convert,変える,
1876,,parallel,平行の,
1877,,complexity,複雑さ,
1878,,frequent,頻繁な,
1879,,subtle,微妙な,
1880,,critic,批評家,
1881,,tropical,熱帯の,
1882,,acknowledge,認める,
1883,,equivalent,等しい,
1884,,initial,当初の,
1885,,electrical,電気の,
1886,,empire,帝国の,
1887,,steadily,着実に,
1888,,steady,着実な,
1889,,principal,第一の,
1890,,endure,耐える,
1891,,numerous,多数の,
1892,,mutual,相互の,
1893,,grand,壮大な,
1894,,prejudice,先入観,
1895,,spiritual,精神の,
1896,,output,生産量,
1897,,precisely,正確に,
1898,,exact,正確な,
1899,,precise,正確な,
1900,,racial,人種の,
1901,,intimate,親密な,
1902,,colony,植民地,
1903,,crew,乗組員,
1904,,minority,少数派,
1905,,elementary,初級の,
1906,,adequate,十分な,
1907,,sufficient,十分な,
1908,,passive,受身の,
1909,,prime,主要な,
1910,,rude,失礼な,
1911,,servant,使用人,
1912,,participant,参加者,
1913,,latest,最新の,
1914,,aggression,攻撃性,
1915,,candidate,候補者,
1916,,rear,後部の,
1917,,deliberately,故意に,
1918,,classical,古典の,
1919,,strict,厳しい,
1920,,atomic,原子の,
1921,,prospect,見通し,
1922,,institute,制定する,
1923,,economics,経済学,
1924,,painful,苦痛な,
1925,,bend,曲げる,
1926,,republic,共和国,
1927,,massive,巨大な,
1928,,inhabitant,居住者,
1929,,resident,居住者,
1930,,ultimate,究極の,
1931,,precious,貴重な,
1932,,peculiar,奇妙な,
1933,,plain,簡素な,
1934,,altogether,完全に,
1935,,pioneer,開拓者,
1936,,excessive,過度の,
1937,,liquid,液体の,
1938,,permanent,永久の,
1939,,gene,遺伝子,
1940,,committee,委員会,
1941,,cease,やめる,
1942,,cave,ほら穴,
1943,,awful,ひどい,
1944,,originate,始まる,
1945,,grasp,つかむ,
1946,,delicate,繊細な,
1947,,luxury,贅沢な,
1948,,civil,市民の,
1949,,verbal,言葉の,
1950,,inclined,傾いた,
1951,,impose,課する,
1952,,mammal,哺乳動物,
1953,,relieve,和らげる,
1954,,logical,論理的な,
1955,,rational,理性的な,
1956,,imitate,模倣する,
1957,,evident,明らかな,
1958,,fascinate,魅了する,
1959,,essentially,本質的に,
1960,,desirable,望ましい,
1961,,broadcast,放送する,
1962,,guarantee,保証する,
1963,,retain,保持する,
1964,,analyze,分析する,
1965,,unpleasant,不愉快な,
1966,,exhibit,展示する,
1967,,burst,破裂する,
1968,,traditionally,伝統的に,
1969,,adjust,調節する,
1970,,investigate,調査する,
1971,,abstract,抽象的な,
1972,,delay,遅らせる,
1973,,Atlantic,大西洋の,
1974,,behalf,代わって,
1975,,relative,相対的な,
1976,,identical,同一の,
1977,,absolute,絶対的な,
1978,,found,設立する,
1979,,pile,積み重ね,
1980,,mature,成熟した,
1981,,restrict,制限する,
1982,,artificial,人工的な,
1983,,evolve,進化する,
1984,,patience,辛抱強さ,
1985,,cruise,巡航する,
1986,,eliminate,取り除く,
1987,,primarily,主として,
1988,,socially,社会的に,
1989,,practically,実質的に,
1990,,cure,治療する,
1991,,dominate,支配する,
1992,,commit,罪を犯す,
1993,,devise,考え出す,
1994,,cultivate,耕作する,
1995,,constitute,構成する,
1996,,update,更新する,
1997,,aggressive,攻撃的な,
1998,,protest,抗議する,
1999,,effectively,効果的に,
2000,,traffic jam,交通渋滞,
2001,,inspire,鼓舞する,
2002,,invisible,見えない,
2003,,undergo,経験する,
2004,,neighbor,隣人,
2005,,interfere,干渉する,
2006,,confirm,確認する,
2007,,apparent,外見上の,
2008,,resolve,解決する,
2009,,calm,穏やかな,
2010,,swallow,飲み込む,
2011,,overwhelming,圧倒的な,
2012,,neglect,無視する,
2013,,increasingly,ますます,
2014,,assure,保証する,
2015,,resist,抵抗する,
2016,,consequently,その結果,
2017,,confine,制限する,
2018,,whisper,ささやく,
2019,,beg,懇願する,
2020,,cling,くっつく,
2021,,gaze,凝視する,
2022,,urge,強く促す,
2023,,astonish,驚かせる,
2024,,nod,うなずく,
2025,,wan,青ざめた,
2026,,depress,落胆させる,
2027,,reliable,頼りになる,
2028,,democratic,民主主義の,
2029,,satisfactory,満足のいく,
2030,,literally,文字通りに,
2031,,sensible,分別のある,
2032,,generate,発生させる,
2033,,confront,直面させる,
2034,,aloud,声に出して,
2035,,uncomfortable,心地の悪い,
2036,,weigh,重さがある,
2037,,elaborate,手の込んだ,
2038,,owe,借りている,
2039,,interrupt,邪魔をする,
2040,,industrialize,産業化する,
2041,,communist,共産主義者,
2042,,generous,気前のよい,
2043,,accustomed,慣れている,
2044,,amuse,楽しませる,
2045,,ensure,確実にする,
2046,,disagree,反対する,
2047,,blink,瞬きをする,
2048,,scatter,まき散らす,
2049,,distinct,他と違った,
2050,,barely,かろうじて,
2051,,bow,お辞儀する,
2052,,fold,折りたたむ,
2053,,tremendous,非常に大きな,
2054,,inevitable,避けられない,
2055,,yell,大声を上げる,
2056,,ruin,台無しにする,
2057,,spoil,台無しにする,
2058,,substitute,代わりに使う,
2059,,unlikely,起こりそうにない,
2060,,regardless,にも関わらず,
2061,,bang,ドンドン叩く,
2062,,whereas,である一方で,
2063,,deposit,お金を預ける,
2064,,exhaust,疲れ果てさせる,
2065,,dare,思い切ってする,
2066,,logic,論理,
2067,,companion,仲間,
2068,,exception,例外,
2069,,divorce,離婚,
2070,,infant,幼児,
2071,,courage,勇気,
2072,,appointment,約束,
2073,,fur,毛皮,
2074,,honor,名誉,
2075,,charm,魅力,
2076,,instinct,本能,
2077,,dialect,方言,
2078,,conservation,保全,
2079,,insurance,保険,
2080,,odd,変な,
2081,,division,分割,
2082,,portion,部分,
2083,,disadvantage,不利,
2084,,absence,不在,
2085,,expense,費用,
2086,,comparison,比較,
2087,,tragedy,悲劇,
2088,,reflection,反映,
2089,,pronunciation,発音,
2090,,blast,爆風,
2091,,explosion,爆発,
2092,,passion,熱望,
2093,,trait,特性,
2094,,privilege,特権,
2095,,instrument,道具,
2096,,insight,洞察,
2097,,colleague,同僚,
2098,,motive,動機,
2099,,statistics,統計,
2100,,investment,投資,
2101,,foundation,基礎,
2102,,pursuit,追跡,
2103,,wage,賃金,
2104,,leap,跳ぶ,
2105,,harmony,調和,
2106,,pour,注ぐ,
2107,,globe,地球,
2108,,funeral,葬式,
2109,,dispute,争議,
2110,,sweep,掃く,
2111,,extinction,絶滅,
2112,,description,説明,
2113,,clip,切る,
2114,,pupil,生徒,
2115,,raw,生の,
2116,,institution,制度,
2117,,proceed,進む,
2118,,myth,神話,
2119,,nerve,神経,
2120,,profound,深い,
2121,,appetite,食欲,
2122,,profession,職業,
2123,,steam,蒸気,
2124,,enthusiasm,情熱,
2125,,site,場所,
2126,,impulse,衝動,
2127,,ministry,省庁,
2128,,shed,流す,
2129,,possession,所有,
2130,,instant,瞬時,
2131,,burden,重荷,
2132,,dwell,住む,
2133,,assembly,集合,
2134,,harvest,収穫,
2135,,seed,種子,
2136,,means,手段,
2137,,unemployment,失業,
2138,,liberty,自由,
2139,,era,時代,
2140,,incident,事件,
2141,,fund,資金,
2142,,facility,施設,
2143,,cell,細胞,
2144,,confusion,混乱,
2145,,insect,昆虫,
2146,,mineral,鉱物,
2147,,suburb,郊外,
2148,,voyage,航海,
2149,,composition,構成,
2150,,preference,好み,
2151,,ray,光線,
2152,,reference,参照,
2153,,cash,現金,
2154,,diminish,減らす,
2155,,constitution,憲法,
2156,,construction,建設,
2157,,firmly,堅く,
2158,,contract,契約,
2159,,fancy,空想,
2160,,tension,緊張,
2161,,parliament,議会,
2162,,obligation,義務,
2163,,sacrifice,犠牲,
2164,,ritual,儀式,
2165,,hunger,飢え,
2166,,orbit,軌道,
2167,,pray,祈る,
2168,,executive,幹部，重役,
2169,,scholar,学者,
2170,,navy,海軍,
2171,,circuit,回路,
2172,,enterprise,会社,
2173,,furniture,家具,
2174,,beneath,下に,
2175,,crown,王冠,
2176,,application,適用,
2177,,remote,遠い,
2178,,immigration,移住,
2179,,dignity,威厳,
2180,,commissioner,委員,
2181,,relief,安堵,
2182,,affection,愛情，好意,
2183,,lord,領主,
2184,,ambition,野望,
2185,,recognition,認識,
2186,,load,積む,
2187,,acquaintance,知人,
2188,,perception,知覚,
2189,,perspective,見解,
2190,,injury,怪我,
2191,,excess,過剰,
2192,,tale,お話,
2193,,treasure,宝,
2194,,grave,墓,
2195,,vice,副,
2196,,lung,肺,
2197,,virtue,徳,
2198,,tide,潮,
2199,,shame,恥,
2200,,tip,先,
2201,,shore,岸,
2202,,inferior,劣った,
2203,,similarity,類似性,
2204,,suppress,抑える,
2205,,melt,溶ける,
2206,,guilty,有罪の,
2207,,definite,明確な,
2208,,annual,毎年の,
2209,,bury,埋める,
2210,,genuine,本物の,
2211,,telescope,望遠鏡,
2212,,legal,法律の,
2213,,capture,捕える,
2214,,editor,編集者,
2215,,convert,変える,
2216,,parallel,平行の,
2217,,complexity,複雑さ,
2218,,frequent,頻繁な,
2219,,subtle,微妙な,
2220,,critic,批評家,
2221,,tropical,熱帯の,
2222,,acknowledge,認める,
2223,,equivalent,等しい,
2224,,initial,当初の,
2225,,electrical,電気の,
2226,,empire,帝国の,
2227,,steadily,着実に,
2228,,steady,着実な,
2229,,principal,第一の,
2230,,endure,耐える,
2231,,numerous,多数の,
2232,,mutual,相互の,
2233,,grand,壮大な,
2234,,prejudice,先入観,
2235,,spiritual,精神の,
2236,,output,生産量,
2237,,precisely,正確に,
2238,,exact,正確な,
2239,,precise,正確な,
2240,,racial,人種の,
2241,,intimate,親密な,
2242,,colony,植民地,
2243,,crew,乗組員,
2244,,minority,少数派,
2245,,elementary,初級の,
2246,,adequate,十分な,
2247,,sufficient,十分な,
2248,,passive,受身の,
2249,,prime,主要な,
2250,,rude,失礼な,
2251,,servant,使用人,
2252,,participant,参加者,
2253,,latest,最新の,
2254,,aggression,攻撃性,
2255,,candidate,候補者,
2256,,rear,後部の,
