No,英単語,日本語訳,記号,数値
968,How about ~?,はどうですか？,＋,0
969,how to,する方法,＋,0
970,How much ~?,はいくらですか？,＋,0
971,however,しかしながら、けれども,＋,0
972,human,人間、人,＋,0
973,hunt,を狩る,＋,0
974,hunting,狩り,＋,0
975,hurry,急ぐ,＋,0
976,hurt,を傷つける,＋,0
977,husband,夫,＋,0
978,if,もし～ならば,＋,0
979,ill,病気の,＋,0
980,imagine,想像する,＋,0
981,improve,を改善する,＋,0
982,improve,進歩する,＋,0
983,influence,に影響を及ぼす,＋,0
984,inside,内側の,＋,0
985,be interested in,に興味がある,＋,0
986,into,～の中へ,＋,0
987,introduce,を紹介する,＋,0
988,invention,発明,＋,0
989,invite,を招待する,＋,0
990,keep,し続ける,＋,0
991,kept,し続けた,＋,0
992,key,鍵,＋,0
993,kill,を殺す,＋,0
994,kind,種類,＋,0
995,kind(s) of ～,種類の～,＋,0
996,kindliness,親切さ,＋,0
997,knew,知っていた,＋,0
998,knife,ナイフ,＋,0
999,knowledge,知識,＋,0
1000,land,土地,＋,0
1001,last,最後の,＋,0
1002,laugh,笑う,＋,0
1003,law,法律,＋,0
1004,leaf,葉,＋,0
1005,learn,学ぶ、習う,＋,0
1006,left,去った,＋,0
1007,lend,貸す,＋,0
1008,lesson,授業,＋,0
1009,letter,文字,＋,0
1010,letter,手紙,＋,0
1011,lie,嘘,＋,0
1012,life,人生,＋,0
1013,light,軽い,＋,0
1014,light,光,＋,0
1015,line,線,＋,0
1016,live,生きる,＋,0
1017,long,長い,＋,0
1018,long ago,ずっと前に,＋,0
1019,take a look,ちらりと見る,＋,0
1020,lose,を失う,＋,0
1021,loud,声の大きい,＋,0
1022,low,低い,＋,0
1023,luggage,手荷物,＋,0
1024,machine,機械,＋,0
1025,magazine,雑誌,＋,0
1026,may,してもよい,＋,0
1027,may,かもしれない,＋,0
1028,mayor,市長,＋,0
1029,meaning,意味,＋,0
1030,measure,をはかる,＋,0
1031,meat,肉,＋,0
1032,medicine,薬,＋,0
1033,medium,中ほどの,＋,0
1034,middle,真ん中,＋,0
1035,in the middle of,の真ん中に,＋,0
1036,million,100万,＋,0
1037,mirror,鏡,＋,0
1038,miss,を見逃す,＋,0
1039,mist,霧,＋,0
1040,mistake,誤り,＋,0
1041,misunderstand,を誤解する,＋,0
1042,moon,月,＋,0
1043,more,よりもっと,＋,0
1044,more than,より多くの,＋,0
1045,moreover,さらに,＋,0
1046,most,最も,＋,0
1047,move,を動かす,＋,0
1048,much,たくさん,＋,0
1049,must,しなければならない,＋,0
1050,must not,してはいけない,＋,0
1051,myself,私自身,＋,0
1052,natural,自然の,＋,0
1053,near,近くで,＋,0
1054,necessary,必要な,＋,0
1055,neck,首,＋,0
1056,neighbor,近所の人,＋,0
1057,nest,巣,＋,0
1058,never,今までに一度もしない,＋,0
1059,at night,夜に,＋,0
1060,noise,騒音,＋,0
1061,for now,今のところは,＋,0
1062,of,～の,＋,0
1063,oil,油,＋,0
1064,old,年をとった,＋,0
1065,old,古い,＋,0
1066,on,の上に,＋,0
1067,once,かつて,＋,0
1068,for one thing,1つには,＋,0
1069,operation,手術,＋,0
1070,originally,はじめは,＋,0
1071,other,ほかの,＋,0
1072,work out,運動する,＋,0
1073,outside,外で,＋,0
1074,over,の向こうへ,＋,0
1075,over here,こちらに,＋,0
1076,all over,の至るところで,＋,0
1077,overseas,海外の,＋,0
1078,own,自分自身の,＋,0
1079,paid,支払い済みの,＋,0
1080,paint,描く,＋,0
1081,paper,紙,＋,0
1082,part,部分,＋,0
1083,pass,を手渡す,＋,0
1084,past,過去の,＋,0
1085,pay,払う,＋,0
1086,peace,平和,＋,0
1087,perfect,完全な,＋,0
1088,person,人,＋,0
1089,photograph,写真,＋,0
1090,piece,断片,＋,0
1091,plan,を計画する,＋,0
1092,planet,惑星,＋,0
1093,plant,植物,＋,0
1094,plate,お皿,＋,0
1095,playful,楽しげな,＋,0
1096,pork,豚肉,＋,0
1097,port,港,＋,0
1098,precious,貴重な,＋,0
1099,preserve,を保存する,＋,0
1100,price,値段,＋,0
1101,produce,を生産する,＋,0
1102,product,製品,＋,0
1103,professor,教授,＋,0
1104,progress,進歩,＋,0
1105,pull,を引く,＋,0
1106,push,を押す,＋,0
1107,put,置く,＋,0
1108,rain,雨,＋,0
1109,rat,ネズミ,＋,0
1110,raw,生の,＋,0
1111,ready,用意できている,＋,0
1112,realize,だと気づく,＋,0
1113,reason,理由,＋,0
1114,recognize,だと分かる,＋,0
1115,relationship,関係,＋,0
1116,remember,を思い出す,＋,0
1117,remind,を気づかせる,＋,0
1118,remove,を取り除く,＋,0
1119,reply,と答える,＋,0
1120,research,を研究する,＋,0
1121,research,研究,＋,0
1122,reservation,予約,＋,0
1123,rest,残り,＋,0
1124,result,結果,＋,0
1125,as a result,結果として,＋,0
1126,return,帰る、戻る,＋,0
1127,ride,乗る,＋,0
1128,right,ちょうど、すぐに,＋,0
1129,right away,すぐに,＋,0
1130,ring,指輪,＋,0
1131,rise,のぼる、上がる、上昇する,＋,0
1132,road,道,＋,0
1133,rock,岩,＋,0
1134,rode,乗った,＋,0
1135,row,列,＋,0
1136,rule,規則,＋,0
1137,sacred,神聖な,＋,0
1138,sailor,船員,＋,0
1139,for sale,売り物の,＋,0
1140,salt,塩,＋,0
1141,same,同一の,＋,0
1142,save,を節約する,＋,0
1143,say,と書いてある,＋,0
1144,scary,恐ろしい,＋,0
1145,second,2番目に,＋,0
1146,seem,～のように思われる,＋,0
1147,select,を選ぶ,＋,0
1148,selection,選択,＋,0
1149,send,を送る,＋,0
1150,sense,感覚,＋,0
1151,sent,送った,＋,0
1152,sentence,文,＋,0
1153,serious,重大な,＋,0
1154,severe,厳しい,＋,0
1155,shadow,影,＋,0
1156,shape,形,＋,0
1157,share,を共有する,＋,0
1158,shop,店,＋,0
1159,should,すべきである,＋,0
1160,shout,叫ぶ,＋,0
1161,show,を見せる,＋,0
1162,side,側面,＋,0
1163,sight,視界,＋,0
1164,similar,同じような,＋,0
1165,sink,沈む,＋,0
1166,skill,技術,＋,0
1167,sky,空,＋,0
1168,slowly,遅く,＋,0
1169,smile,笑う,＋,0
1170,with a smile,笑って,＋,0
1171,snow,雪,＋,0
1172,society,社会,＋,0
1173,soft,やわらかい,＋,0
1174,sometime,いつか,＋,0
1175,sorry,残念で,＋,0
1176,specific,特定の,＋,0
1177,spice,香辛料,＋,0
1178,spoke,話した,＋,0
1179,spread,を広げる,＋,0
1180,spread,広がった,＋,0
1181,spring,ばね,＋,0
1182,standard,基準,＋,0
1183,stay,滞在する,＋,0
1184,stick,棒,＋,0
1185,stone,石,＋,0
1186,story,物語,＋,0
1187,strange,奇妙な,＋,0
1188,strike,打つ,＋,0
1189,success,成功,＋,0
1190,such,そのような,＋,0
1191,sugar,砂糖,＋,0
1192,sun,太陽,＋,0
1193,surprised,驚いた,＋,0
1194,tall,背が高い,＋,0
1195,taught,教えた,＋,0
1196,technology,科学技術,＋,0
1197,than,よりも,＋,0
1198,these,これらの,＋,0
1199,thick,厚い,＋,0
1200,tiny,ごく小さな,＋,0
1201,tourist,観光客,＋,0
1202,tradition,伝統,＋,0
1203,translate,翻訳する,＋,0
1204,translation,翻訳,＋,0
1205,turn into,に変わる,＋,0
1206,twice,2倍、2度,＋,0
1207,uncle,おじ,＋,0
1208,understood,を理解した,＋,0
1209,unique,独特な,＋,0
1210,university,大学,＋,0
1211,usual,通常の,＋,0
1212,various,いろいろな,＋,0
1213,wake,目が覚める,＋,0
1214,wake up,目を覚ます,＋,0
1215,war,戦争,＋,0
1216,warm,温かい,＋,0
1217,watch,腕時計,＋,0
1218,wave,波,＋,0
1219,way,方法,＋,0
1220,weak,弱い,＋,0
1221,wear,着る,＋,0
1222,weigh,重さがある,＋,0
1223,weight,重さ,＋,0
1224,do well,元気になる,＋,0
1225,well-off,裕福な,＋,0
1226,west,西,＋,0
1227,when,するとき,＋,0
1228,which,どちらの,＋,0
1229,wide,幅が広い,＋,0
1230,wife,妻,＋,0
1231,wild,野生の,＋,0
1232,will,～するつもり,＋,0
1233,wind,風,＋,0
1234,wisdom,知恵,＋,0
1235,wish,望む,＋,0
1236,with,～と一緒に,＋,0
1237,woke,目が覚めた,＋,0
1238,wonder,～かなと思う,＋,0
1239,wonder,不思議,＋,0
1240,wood,木材,＋,0
1241,work,仕事,＋,0
1242,world,世界,＋,0
1243,writer,作家,＋,0
1244,wrote,書いた,＋,0
1245,young,若い,＋,0
1246,a kind of,一種の,＋,0
1247,above,上に，上記の,＋,0
1248,accept,を受け入れる,＋,0
1249,accident,事故,＋,0
1250,actually,実は，本当は,＋,0
1251,address,住所,＋,0
1252,affect,に影響を与える,＋,0
1253,after a while,しばらくして,＋,0
1254,agree,賛成する,＋,0
1255,agree with,に賛成する,＋,0
1256,ahead,前方に,＋,0
1257,all the time,常に,＋,0
1258,almost,ほとんど,＋,0
1259,already,すでに，もう,＋,0
1260,although,であるけれど,＋,0
1261,amaze,をびっくりさせる,＋,0
1262,amazing,驚くべき,＋,0
1263,amount,量，額,＋,0
1264,angry,怒った，腹を立てた,＋,0
1265,announce,を発表する,＋,0
1266,announcement,発表,＋,0
1267,any,どれもない,＋,0
1268,any,どんなでも,＋,0
1269,apply,当てはまる,＋,0
1270,arm,腕,＋,0
1271,army,陸軍,＋,0
1272,around,のまわりに,＋,0
1273,arrest,を逮捕する,＋,0
1274,arrow,矢,＋,0
1275,artistic,芸術的な,＋,0
1276,ashamed,恥じて,＋,0
1277,at,によって,＋,0
1278,attend,に通う，に出席する,＋,0
1279,audience,聴衆，観客,＋,0
1280,awake,目が覚める,＋,0
1281,awesome,すばらしい,＋,0
1282,back,裏の，後ろの,＋,0
1283,bake,焼く,＋,0
1284,ban,を禁止する,＋,0
1285,barber,散髪屋,＋,0
1286,battery,電池,＋,0
1287,be amazed at,に驚かされる,＋,0
1288,be different from,とはちがっている,＋,0
1289,be in danger of,の危険にさらされている,＋,0
1290,be ready for,の用意ができている,＋,0
1291,be satisfied with,に満足する,＋,0
1292,become,になった,＋,0
1293,beef,牛肉,＋,0
1294,begin,始まる,＋,0
1295,beginner,初心者,＋,0
1296,beginning,最初,＋,0
1297,behavior,ふるまい,＋,0
1298,believe,信じる,＋,0
1299,belong,のものである,＋,0
1300,below,下に，下記の,＋,0
1301,besides,そのうえ，さらに,＋,0
1302,beyond,をこえたところに,＋,0
1303,billion,10億,＋,0
1304,bit,少し,＋,0
1305,blood,血,＋,0
1306,blow,吹く,＋,0
1307,boil,ゆでる，煮る,＋,0
1308,bomb,爆弾,＋,0
1309,border,国境,＋,0
1310,born,生まれる,＋,0
1311,bother,面倒,＋,0
1312,bowl,鉢,＋,0
1313,brain,頭脳,＋,0
1314,branch,枝,＋,0
1315,break,壊れる，破る,＋,0
1316,breed,を飼育する，繁殖する,＋,0
1317,bright,明るい,＋,0
1318,brush,筆,＋,0
1319,building,建物,＋,0
1320,burden,負担，重荷,＋,0
1321,burn,を燃やす,＋,0
1322,calligraphy,書道,＋,0
1323,calm,落ちついた,＋,0
1324,cancer,がん,＋,0
1325,capture,を捕まえる,＋,0
1326,carbon dioxide,二酸化炭素,＋,0
1327,case,事例,＋,0
1328,case,容器,＋,0
1329,central,中心の,＋,0
1330,certain,確かな,＋,0
1331,change,変化,＋,0
1332,charge,を充電する,＋,0
1333,cheap,安い,＋,0
1334,check out,を調査する,＋,0
1335,chemical,化学物質,＋,0
1336,China,中国,＋,0
1337,Chinese,中国語,＋,0
1338,choose,選ぶ,＋,0
1339,circle,を丸で囲む,＋,0
1340,class,授業,＋,0
1341,clean,をそうじする,＋,0
1342,climate,気候,＋,0
1343,close,を閉じる，終える,＋,0
1344,cloth,布，服地,＋,0
1345,clothes,衣服,＋,0
1346,coal,石炭,＋,0
1347,college,大学,＋,0
1348,colony,植民地,＋,0
1349,colorful,色彩に富んだ,＋,0
1350,condition,状況,＋,0
1351,connect,つながる,＋,0
1352,consumer,消費者,＋,0
1353,contact,と連絡をとる,＋,0
1354,continue,続く,＋,0
1355,control,を管理する,＋,0
1356,convenient,便利な,＋,0
1357,corner,角，隅,＋,0
1358,could,できた,＋,0
1359,countryside,田舎,＋,0
1360,courage,勇気,＋,0
1361,course,進路,＋,0
1362,cover,覆う,＋,0
1363,crazy,気の狂った,＋,0
1364,creative,創造力のある,＋,0
1365,cross,を横切る，渡る,＋,0
1366,cry,泣く,＋,0
1367,curious,好奇心の強い,＋,0
1368,custom,習慣,＋,0
1369,custom-made,注文で作った,＋,0
1370,cut,を切る,＋,0
1371,daily,日常の,＋,0
1372,dam,ダム,＋,0
1373,damage,被害,＋,0
1374,dangerous,危険な,＋,0
1375,daughter,娘,＋,0
1376,dead,死んだ,＋,0
1377,death,死,＋,0
1378,debate,討論,＋,0
1379,decide to,しようと決心する,＋,0
1380,decision,決定,＋,0
1381,definitely,もちろん，確かに,＋,0
1382,depend,頼る,＋,0
1383,depend on,に頼る,＋,0
1384,desert,砂漠,＋,0
1385,design,を設計する,＋,0
1386,destroy,を破壊する,＋,0
1387,development,開発,＋,0
1388,device,装置,＋,0
1389,die,死ぬ,＋,0
1390,die out,絶滅する,＋,0
1391,difference,ちがい,＋,0
1392,disagree,意見が合わない,＋,0
1393,disaster,災害,＋,0
1394,discover,を発見する,＋,0
1395,discrimination,差別,＋,0
1396,discuss,話し合う,＋,0
1397,discussion,討論,＋,0
1398,disease,病気,＋,0
1399,domestic,国内の,＋,0
1400,donate,を寄付する,＋,0
1401,dot,点,＋,0
1402,drive,運転する,＋,0
1403,driver,運転手,＋,0
1404,drop,落ちる,＋,0
1405,drop out,中退する,＋,0
1406,drove,運転した,＋,0
1407,earthquake,地震,＋,0
1408,eat out,外食する,＋,0
1409,ecosystem,生態系,＋,0
1410,effective,効果的な,＋,0
1411,electricity,電力,＋,0
1412,electronic,電子の,＋,0
1413,electronic device,電子機器,＋,0
1414,else,その他に,＋,0
1415,emergency,緊急事態,＋,0
1416,employee,従業員,＋,0
1417,encourage,を勇気づける,＋,0
1418,encourage to ～,に～するように促す,＋,0
1419,endangered,絶滅の危機にさらされている,＋,0
1420,ending,終わり，結末,＋,0
1421,enemy,敵,＋,0
1422,engineer,開発者,＋,0
1423,environment,環境，状況,＋,0
1424,era,時代,＋,0
1425,establish,を設立する,＋,0
1426,evacuation,避難,＋,0
1427,evacuation drill,避難訓練,＋,0
1428,even if,たとえ～だとしても,＋,0
1429,event,行事,＋,0
1430,ever,今まで，かつて,＋,0
1431,every,どれもみな,＋,0
1432,every year,毎年,＋,0
1433,exam,試験,＋,0
1434,exception,例外,＋,0
1435,exchange,交換,＋,0
1436,exercise,練習する,＋,0
1437,expensive,高価な，費用のかかる,＋,0
1438,extend,を広げる,＋,0
1439,extinction,絶滅,＋,0
1440,extinguisher,消火器,＋,0
1441,fact,事実，現実,＋,0
1442,fall,落ちる，降る,＋,0
1443,fantastic,すばらしい,＋,0
1444,farmer,農場主,＋,0
1445,fast,速い,＋,0
1446,fat,太った,＋,0
1447,feather,羽,＋,0
1448,feel free to,遠慮なくする,＋,0
1449,fence,塀,＋,0
1450,fight,たたかう,＋,0
1451,fill,いっぱいにする,＋,0
1452,film,映画,＋,0
1453,final,最後の,＋,0
1454,finally,ついに，やっと,＋,0
1455,fire,火事,＋,0
1456,fire,を首にする，解雇する,＋,0
1457,first,はじめて,＋,0
1458,flat,平らな,＋,0
1459,flight,飛行,＋,0
1460,fly,飛ぶ,＋,0
1461,focus,集中する,＋,0
1462,fold,を折る，折りたたむ,＋,0
1463,follower,支持者,＋,0
1464,fond,好きで,＋,0
1465,foolish,愚かな,＋,0
1466,forth,前へ,＋,0
1467,fortunately,幸運にも,＋,0
1468,fossil fuel,化石燃料,＋,0
1469,found,を見つけた,＋,0
1470,fox,キツネ,＋,0
1471,freely,自由に,＋,0
1472,fresh,新鮮な,＋,0
1473,friendly,好意的な,＋,0
1474,fun,面白い,＋,0
1475,functional,実用的な,＋,0
1476,garage,車庫,＋,0
1477,gas,ガソリン,＋,0
1478,gentle,やさしい,＋,0
1479,gently,やさしく,＋,0
1480,get fired,解雇される,＋,0
1481,get out,外へ出る,＋,0
1482,get over,を乗りこえる,＋,0
1483,given,与えた,＋,0
1484,the globe,地球,＋,0
1485,go back,帰る，戻る,＋,0
1486,go on,する，始める,＋,0
1487,go on,時間が過ぎ去る,＋,0
1488,go through,人生を送る,＋,0
1489,god,神,＋,0
1490,government,政府,＋,0
1491,grade,等級,＋,0
1492,graduate,卒業する,＋,0
1493,graduation,卒業,＋,0
1494,grew,育った,＋,0
1495,grow,成長する,＋,0
1496,growth,増加,＋,0
1497,guide,を案内する,＋,0
1498,habit,習慣,＋,0
1499,hand,を手渡す,＋,0
1500,hand out,を配る,＋,0
1501,handle,を処理する,＋,0
1502,happily,幸せに，楽しく,＋,0
1503,health,健康,＋,0
1504,healthy,健康な,＋,0
1505,hear,を聞く,＋,0
1506,heard,聞いた,＋,0
1507,heat,熱,＋,0
1508,heaven,天国,＋,0
1509,held,握った,＋,0
1510,help,手伝う,＋,0
1511,high school,高校,＋,0
1512,himself,彼自身を,＋,0
1513,hit,打つ,＋,0
1514,holy,神聖な,＋,0
1515,honey,蜂蜜,＋,0
1516,hope to,したいと願う,＋,0
1517,hopeful,希望を持っている,＋,0
1518,horizon,地平線，水平線,＋,0
1519,How long ?,どれくらいの長さ？,＋,0
1520,How much ?,どれくらいの量？,＋,0
1521,human,人間の,＋,0
1522,human being,人間,＋,0
1523,human rights,人権,＋,0
1524,if,もし～ならば,＋,0
1525,illegal,違法な,＋,0
1526,illiterate,読み書きのできない,＋,0
1527,image,画像，印象,＋,0
1528,imagine,を想像する,＋,0
1529,import,を輸入する,＋,0
1530,in case of,の場合には,＋,0
1531,in season,旬で,＋,0
1532,in the open air,屋外で,＋,0
1533,in those days,当時は,＋,0
1534,include,を含む,＋,0
1535,increase,を増やす，増大させる,＋,0
1536,indeed,実に,＋,0
1537,independence,独立,＋,0
1538,injure,を傷つける,＋,0
1539,inner,内部の，内側の,＋,0
1540,instead,そのかわりに,＋,0
1541,instead of,のかわりに,＋,0
1542,instruction,指示,＋,0
1543,interdependent,相互に依存している,＋,0
1544,interest,興味,＋,0
1545,into,～の中へ,＋,0
1546,invent,を発明する,＋,0
1547,inventor,発明家,＋,0
1548,iron,鉄,＋,0
1549,jewel,宝石,＋,0
1550,joy,喜び,＋,0
1551,judge,審判員,＋,0
1552,just,たった今,＋,0
1553,keep,を保つ,＋,0
1554,kit,道具一式,＋,0
1555,lamp,明かり,＋,0
1556,large,大きい，広い,＋,0
1557,last,最後の,＋,0
1558,latest,最新の,＋,0
1559,law,法律,＋,0
1560,lawyer,弁護士,＋,0
1561,lazy,怠け者の,＋,0
1562,lead,を導く,＋,0
1563,leave,を置いていく,＋,0
1564,legacy,遺産,＋,0
1565,less,もっと少なく,＋,0
1566,let,～に～をさせる,＋,0
1567,limited,限られた,＋,0
1568,line,行，線,＋,0
1569,link,接続,＋,0
1570,lip,唇,＋,0
1571,list,表,＋,0
1572,little,小さい，かわいい,＋,0
1573,little,ほとんど～ない,＋,0
1574,long,長い,＋,0
1575,loss,失うこと，喪失,＋,0
1576,lost,失った,＋,0
1577,lost,道に迷った,＋,0
1578,lovely,美しい,＋,0
1579,lucky,幸運な,＋,0
1580,lullaby,子守歌,＋,0
1581,made,作った,＋,0
1582,magazine,雑誌,＋,0
1583,make,を～の状態にする,＋,0
1584,make all the difference,大きなちがいを生む,＋,0
1585,many,多くの,＋,0
1586,mark,印,＋,0
1587,marry,結婚する,＋,0
1588,match,試合,＋,0
1589,matter,問題，困ったこと,＋,0
1590,meant,意味した,＋,0
1591,merchant,商人,＋,0
1592,metal,金属,＋,0
1593,mind,精神,＋,0
1594,mini,小型の,＋,0
1595,mining,採鉱，採掘,＋,0
1596,mirror,鏡,＋,0
1597,mix,混ぜる,＋,0
1598,modern,現代的な,＋,0
1599,monthly,月に1回の,＋,0
1600,more,もっと,＋,0
1601,more and more,ますます多くの,＋,0
1602,more than,より多い,＋,0
1603,most,たいていの，大部分の,＋,0
1604,move,動く，引っ越す,＋,0
1605,movement,運動,＋,0
1606,musical,音楽の,＋,0
1607,negative,否定的な，良くない,＋,0
1608,neither,～も～もない,＋,0
1609,net,網,＋,0
1610,never,決してない,＋,0
1611,newspaper,新聞,＋,0
1612,violence,暴力,＋,0
1613,noisy,騒がしい,＋,0
1614,not at all,少しもない,＋,0
1615,not always,いつもとは限らない,＋,0
1616,not only but also ～,だけでなく～もまた,＋,0
1617,note,紙幣,＋,0
1618,nuclear,核の，原子力の,＋,0
1619,nuclear power,原子力,＋,0
1620,number,番号,＋,0
1621,ocean,大洋，海,＋,0
1622,oil,油，石油,＋,0
1623,on the way,帰る途中で,＋,0
1624,one by one,1つずつ,＋,0
1625,opinion,意見，考え,＋,0
1626,or,そうしなければ,＋,0
1627,or,すなわち，言いかえれば,＋,0
1628,order,注文する,＋,0
1629,ordinary,ふつうの,＋,0
1630,out,外に,＋,0
1631,outside,の外側に,＋,0
1632,over,の向こう側に,＋,0
1633,overseas,外国へ,＋,0
1634,pain,痛み,＋,0
1635,painter,画家,＋,0
1636,pair,一組,＋,0
1637,pal,友だち,＋,0
1638,palace,宮殿,＋,0
1639,pale,青ざめた,＋,0
1640,paper crane,折り鶴,＋,0
1641,parking lot,駐車場,＋,0
1642,pass by,通り過ぎる,＋,0
1643,peace,平和,＋,0
1644,peaceful,平和な,＋,0
1645,pencil,えんぴつ,＋,0
1646,perhaps,多分,＋,0
1647,period,時代,＋,0
1648,person,人，個人,＋,0
1649,personal,個人の,＋,0
1650,plastic bag,ビニールぶくろ,＋,0
1651,please,気に入る，喜ばせる,＋,0
1652,pleased,喜んで,＋,0
1653,poem,詩,＋,0
1654,poet,詩人,＋,0
1655,point,特徴，論点,＋,0
1656,point,点,＋,0
1657,police officer,警察官,＋,0
1658,policeman,警官,＋,0
1659,populous,人口の多い,＋,0
1660,pork,豚肉,＋,0
1661,positive,前向きな,＋,0
1662,possible,可能な,＋,0
1663,prepared,用意ができている,＋,0
1664,president,大統領,＋,0
1665,pretty,かわいい，きれいな,＋,0
1666,prince,王子,＋,0
1667,print,を印刷する,＋,0
1668,prize,賞,＋,0
1669,progress,進歩,＋,0
1670,promise,約束,＋,0
1671,protect,を守る，保護する,＋,0
1672,protest,抗議する,＋,0
1673,protest,抗議(運動),＋,0
1674,pursue,を追い求める,＋,0
1675,quarter,4分の1,＋,0
1676,quick,速い,＋,0
1677,quietly,静かに，落ち着いて,＋,0
1678,quite,かなり，相当,＋,0
1679,race,競走,＋,0
1680,radiation,放射線,＋,0
1681,railway,鉄道,＋,0
1682,rain,雨,＋,0
1683,rainwater,雨水,＋,0
1684,rainy,雨の,＋,0
1685,raise,手などを挙げる,＋,0
1686,rapidly,速く，急速に,＋,0
1687,reach,に着く，到着する,＋,0
1688,real,本当の,＋,0
1689,receive,を受け取る,＋,0
1690,recently,最近,＋,0
1691,relate,を～に関係させる,＋,0
1692,relate to ～,を～に関係させる,＋,0
1693,relation,関係,＋,0
1694,relatively,比較的,＋,0
1695,release,を放出する,＋,0
1696,renewable,再生可能な,＋,0
1697,report,報告,＋,0
1698,researcher,研究者,＋,0
1699,resident,住民，居住者,＋,0
1700,resource,資源,＋,0
1701,respect,を尊敬する,＋,0
1702,rest,休む，眠る,＋,0
1703,rhyme,韻をふむ,＋,0
1704,rhythm,リズム，調子,＋,0
1705,right,権利,＋,0
1706,road,道路,＋,0
1707,root,根,＋,0
1708,rose,昇った,＋,0
1709,round,まわりに,＋,0
1710,row,こぐ,＋,0
1711,rule,支配，統治,＋,0
1712,run,を主催する,＋,0
1713,run away,逃げる,＋,0
1714,run out of,を使い果たす,＋,0
1715,rush,殺到,＋,0
1716,safely,安全に,＋,0
1717,said,言った,＋,0
1718,salt,塩，食塩,＋,0
1719,same,同じもの,＋,0
1720,satisfy,を満足させる,＋,0
1721,save,を救う,＋,0
1722,scared,こわがって,＋,0
1723,seasonal,季節の,＋,0
1724,second,秒,＋,0
1725,secret,秘密,＋,0
1726,seem,～の様に見える,＋,0
1727,senior,年上の，上級の,＋,0
1728,sent,送った,＋,0
1729,shade,陰，日陰,＋,0
1730,shake,震える,＋,0
1731,shaking,揺れ,＋,0
1732,shelter,避難所,＋,0
1733,shirt,シャツ,＋,0
1734,shoot,撃つ,＋,0
1735,side,側，面,＋,0
1736,sidewalk,歩道,＋,0
1737,sign,合図，標識,＋,0
1738,signal,信号,＋,0
1739,silent,静かな,＋,0
1740,silk,絹,＋,0
1741,silver,銀,＋,0
1742,simple,単純な，簡単な,＋,0
1743,since,～以来,＋,0
1744,site,場所,＋,0
1745,sky,空，大空,＋,0
1746,sleep,眠る，寝ている,＋,0
1747,sleepy,眠い,＋,0
1748,smell,においがする,＋,0
1749,smoke,煙,＋,0
1750,so that ～,とてもなので～だ,＋,0
1751,so far,これまでは,＋,0
1752,soil,土,＋,0
1753,sold,売った,＋,0
1754,solve,を解決する,＋,0
1755,somehow,何らかの形で,＋,0
1756,someone,だれか，ある人,＋,0
1757,somewhere,どこかに,＋,0
1758,son,息子,＋,0
1759,sort,種類,＋,0
1760,species,種,＋,0
1761,spelling,綴り,＋,0
1762,spread,広がる，広まる,＋,0
1763,square,正方形の,＋,0
1764,stand,をがまんする,＋,0
1765,stand up,立ち上がる,＋,0
1766,stationery,文房具,＋,0
1767,statue,像,＋,0
1768,steam,蒸気,＋,0
1769,step,足元，階段,＋,0
1770,stop,とまる，停止する,＋,0
1771,store,を蓄える,＋,0
1772,stranger,見知らぬ人,＋,0
1773,strict,厳しい,＋,0
1774,study,研究，調査,＋,0
1775,stylish,おしゃれな,＋,0
1776,succeed,成功する,＋,0
1777,successful,成功した,＋,0
1778,sunset,日没,＋,0
1779,sunshine,日光,＋,0
1780,super,とても，すごく,＋,0
1781,supply,供給,＋,0
1782,support,を支援する，応援する,＋,0
1783,surely,確かに,＋,0
1784,surprisingly,驚いたことには,＋,0
1785,surround,を囲む,＋,0
1786,survey,調査,＋,0
1787,survival,存続，生き残ること,＋,0
1788,survive,生き残る,＋,0
1789,sustainable,存続可能な,＋,0
1790,sweet,易しい,＋,0
1791,swimming,水泳,＋,0
1792,syllable,音節,＋,0
1793,tax,税，税金,＋,0
1794,tear,涙,＋,0
1795,tell to ～,に～するように言う,＋,0
1796,terrible,ひどい,＋,0
1797,That's very kind of you,親切にありがとうございます,＋,0
1798,themselves,彼ら自身,＋,0
1799,then,そのとき,＋,0
1800,then,そうすると,＋,0
1801,third,3番目,＋,0
1802,third,3分の1,＋,0
1803,this way,このように,＋,0
1804,those,あれらの,＋,0
1805,though,だけれども,＋,0
1806,thought,考え,＋,0
1807,thousands of,何千もの,＋,0
1808,through,を通り抜けて,＋,0
1809,tie,ネクタイ,＋,0
1810,tightly,しっかりと,＋,0
1811,title,題名，表題,＋,0
1812,tonight,今夜は,＋,0
1813,too to ～,～するにはすぎる,＋,0
1814,tough,困難な，難しい,＋,0
1815,toy,おもちゃ,＋,0
1816,trade,貿易,＋,0
1817,transport,を輸送する,＋,0
1818,traveler,旅行者,＋,0
1819,treasure,宝物,＋,0
1820,trust,を信用する,＋,0
1821,uncomfortable,心地の悪い,＋,0
1822,unfair,不公平な，不当な,＋,0
1823,unhappy,不幸な,＋,0
1824,uniform,制服,＋,0
1825,universe,宇宙,＋,0
1826,until,まで，までは,＋,0
1827,unused,未使用の,＋,0
1828,up until,まで,＋,0
1829,use,使う,＋,0
1830,valley,谷,＋,0
1831,violence,暴力,＋,0
1832,visitor,観光客,＋,0
1833,war,戦争,＋,0
1834,waste,ごみ，廃棄物,＋,0
1835,weak,弱い，かすかな,＋,0
1836,weapon,武器,＋,0
1837,wear,を着ている,＋,0
